,Unnamed: 0,ingredient,amount,ingr_annotation,amount_annotation,norm_value,norm_unit,nutrition
445,445,knoblauchzehen gehackt,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Knoblauchzehe"", ""eigenschaft"": ""gehackt""}",1.0,stk,"{""detailed_info"": [[{""menge"": ""5.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""knoblauchzehen"", ""erkannteZutat"": ""Knoblauch""}, {""ZF"": 6.0, ""ZE"": 302.5, ""ZK"": 1420.5, ""ZA"": 0.0, ""GCAL"": 7.1, ""QUALI"": 99999.0}]]}"
446,446,oliven schwarz entsteint,1 dose,"{""anzahl"": 1, ""einheit"": ""Dose""}","{""zutat"": ""Olive"", ""eigenschaft"": ""entsteint""}",1.0,stk,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""oliven"", ""erkannteZutat"": ""Oliven""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 99999.0}]]}"
447,447,sardellen  anchovis ,3 stk.,"{""anzahl"": 3, ""einheit"": ""stk.""}","{""zutat"": ""Sardelle""}",3.0,stk,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""sardellen anchovis"", ""erkannteZutat"": ""Sardelle roh""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 1.5919804600000003}]]}"
448,448,kapern,1 dose,"{""anzahl"": 1, ""einheit"": ""dose""}","{""zutat"": ""Kaper"", ""eigenschaft"": ""Konserve""}",1.0,stk,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""kapern"", ""erkannteZutat"": ""Kapern roh""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 1.25457046}]]}"
449,449,salz und pfeffer,1 ½ teelöffel,"{""anzahl"": 1.5, ""einheit"": ""teel\u00f6ffel"", ""zutat"": ""salz""}","{""zutat"": ""Teel\u00f6ffel"", ""eigenschaft"": ""halb""}",0.0075,l,"{""detailed_info"": [[{""menge"": ""1.0g"", ""einheit"": ""l"", ""bezeichnung"": ""salz und pfeffer"", ""erkannteZutat"": ""Speisesalz""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 99999.0}]]}"
450,450,muskatnuss frisch gerieben,2 prise,"{""anzahl"": 2, ""einheit"": ""Prise""}","{""zutat"": ""Muskatnuss"", ""eigenschaft"": ""gerieben""}",0.001,l,"{""detailed_info"": [[{""menge"": ""0.2g"", ""einheit"": ""l"", ""bezeichnung"": ""muskatnuss"", ""erkannteZutat"": ""Muskatnuss getrocknet""}, {""ZF"": 72.6, ""ZE"": 11.6, ""ZK"": 90.0, ""ZA"": 0.0, ""GCAL"": 1.054, ""QUALI"": 0.4629904600000001}]]}"
451,451,pfeffer aus der mühleschwarz,3 prise,"{""anzahl"": 3, ""einheit"": ""prise"", ""zutat"": ""pfeffer""}","{""zutat"": ""Pfeffer"", ""eigenschaft"": ""schwarz""}",0.0015,l,"{""detailed_info"": [[{""menge"": ""1.0g"", ""einheit"": ""l"", ""bezeichnung"": ""pfeffer der muhleschwarz"", ""erkannteZutat"": ""Pfeffer""}, {""ZF"": 33.0, ""ZE"": 109.0, ""ZK"": 520.0, ""ZA"": 0.0, ""GCAL"": 2.85, ""QUALI"": 1.58920046}]]}"
452,452,sahne,1 päckchen,"{""anzahl"": 1, ""einheit"": ""P\u00e4ckchen""}","{""zutat"": ""Sahne""}",1.0,stk,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""sahne"", ""erkannteZutat"": ""Sahne""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 99999.0}]]}"
453,453,eier,2 stk.,"{""anzahl"": 2, ""einheit"": ""stk.""}","{""zutat"": ""Ei"", ""eigenschaft"": ""ganz""}",2.0,stk,"{""detailed_info"": [[{""menge"": ""100.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""ei"", ""erkannteZutat"": ""H\u00fchnerei""}, {""ZF"": 9320.0, ""ZE"": 11850.0, ""ZK"": 1530.0, ""ZA"": 0.0, ""GCAL"": 137.0, ""QUALI"": 99999.0}]]}"
454,454,schnittlauch frisch gehackt,1 bund,"{""anzahl"": 1, ""einheit"": ""bund""}","{""zutat"": ""Schnittlauch"", ""eigenschaft"": ""gehackt""}",1.0,stk,"{""detailed_info"": [[{""menge"": ""2.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""schnittlauch"", ""erkannteZutat"": ""Schnittlauch""}, {""ZF"": 14.8, ""ZE"": 71.6, ""ZK"": 31.8, ""ZA"": 0.0, ""GCAL"": 0.56, ""QUALI"": 99999.0}]]}"
455,455,karotten gerieben,300 g,"{""gewicht"": 300, ""einheit"": ""g""}","{""zutat"": ""Karotte"", ""eigenschaft"": ""gerieben""}",300.0,g,"{""detailed_info"": [[{""menge"": ""300.0g"", ""einheit"": ""g"", ""bezeichnung"": ""karotten"", ""erkannteZutat"": ""Karotten-Saftschorle""}, {""ZF"": 228.0, ""ZE"": 945.0, ""ZK"": 7125.0, ""ZA"": 0.0, ""GCAL"": 36.0, ""QUALI"": 0.20063045999999995}]]}"
456,456,apfel elstar,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Apfel"", ""eigenschaft"": ""Elstar""}",1.0,stk,"{""detailed_info"": [[{""menge"": ""115.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""apfel elstar"", ""erkannteZutat"": ""Apfel""}, {""ZF"": 56.35, ""ZE"": 391.0, ""ZK"": 16502.5, ""ZA"": 0.0, ""GCAL"": 70.15, ""QUALI"": 1.44842046}]]}"
457,457,salz grob,1 teelöffel,"{""anzahl"": 1, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Salz"", ""eigenschaft"": ""grob""}",0.005,l,"{""detailed_info"": [[{""menge"": ""1.0g"", ""einheit"": ""l"", ""bezeichnung"": ""salz grob"", ""erkannteZutat"": ""Salz""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 1.37803046}]]}"
458,458,zucker,0.5 teelöffel,"{""anzahl"": 0.5, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Teel\u00f6ffel"", ""eigenschaft"": ""0.5""}",0.0025,l,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""l"", ""bezeichnung"": ""zucker"", ""erkannteZutat"": ""Zucker""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 99999.0}]]}"
459,459,rapsöl,4 esslöffel,"{""anzahl"": 4, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""Raps-""}",0.06,l,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""l"", ""bezeichnung"": ""rapsol"", ""erkannteZutat"": ""R\u00fcb\u00f6l (Raps\u00f6l)""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 0.35420046000000005}]]}"
460,460,zitronensaft,2 esslöffel,"{""volumen"": 2, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Zitronensaft""}",0.03,l,"{""detailed_info"": [[{""menge"": ""1.7999999999999998g"", ""einheit"": ""l"", ""bezeichnung"": ""zitronensaft"", ""erkannteZutat"": ""Zitrone Fruchtsaft""}, {""ZF"": 8.712, ""ZE"": 11.43, ""ZK"": 67.60799999999999, ""ZA"": 0.0, ""GCAL"": 0.6659999999999999, ""QUALI"": 99999.0}]]}"
461,461,wasser,2 ½ liter,"{""volumen"": ""2 \u00bd"", ""einheit"": ""liter""}","{""zutat"": ""Liter"", ""eigenschaft"": ""halb""}",2.5,l,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""l"", ""bezeichnung"": ""wasser"", ""erkannteZutat"": ""Trinkwasser""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 99999.0}]]}"
462,462,zwiebel frisch,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""frisch""}",1.0,stk,"{""detailed_info"": [[{""menge"": ""100.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""zwiebel"", ""erkannteZutat"": ""Zwiebeln""}, {""ZF"": 250.0, ""ZE"": 1177.0, ""ZK"": 4921.0, ""ZA"": 0.0, ""GCAL"": 28.0, ""QUALI"": 99999.0}]]}"
463,463,selleriestange,6 stk.,"{""anzahl"": 6, ""einheit"": ""stk.""}","{""zutat"": ""Selleriestange""}",6.0,stk,
464,464,wurzelgemüse,800 gramm,"{""gewicht"": 800, ""einheit"": ""gramm""}","{""zutat"": ""Wurzelgem\u00fcse""}",800.0,g,
465,465,chilischote grün,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Chilischote"", ""eigenschaft"": ""gr\u00fcn""}",1.0,stk,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""chilischote"", ""erkannteZutat"": ""Chiliso\u00dfen""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 0.63580046}]]}"
466,466,pfefferkörner,15 stk.,"{""anzahl"": 15, ""einheit"": ""stk.""}","{""zutat"": ""Pfefferkorn""}",15.0,stk,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""pfefferkorner"", ""erkannteZutat"": ""Pfefferk\u00f6rner gr\u00fcn""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 0.23907045999999998}]]}"
467,467,piment,3 stk.,"{""anzahl"": 3, ""einheit"": ""stk.""}","{""zutat"": ""Piment""}",3.0,stk,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""piment"", ""erkannteZutat"": ""Piment""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 99999.0}]]}"
468,468,karotten,3 stk.,"{""anzahl"": 3, ""einheit"": ""stk.""}","{""zutat"": ""Karotte""}",3.0,stk,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""karotten"", ""erkannteZutat"": ""Karotten-Saftschorle""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 0.20063045999999995}]]}"
469,469,topinambur frisch,8 stk.,"{""anzahl"": 8, ""einheit"": ""stk.""}","{""zutat"": ""Topinambur"", ""eigenschaft"": ""frisch""}",8.0,stk,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""topinambur"", ""erkannteZutat"": ""Topinambur roh""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 1.53613046}]]}"
470,470,rote bete frisch,3 stk,"{""anzahl"": 3, ""einheit"": ""stk""}","{""zutat"": ""Rote Bete"", ""eigenschaft"": ""frisch""}",3.0,stk,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""bete"", ""erkannteZutat"": ""Sorbet""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 0.7381804600000001}]]}"
471,471,viktoriabarsch,550 g,"{""gewicht"": 550, ""einheit"": ""g""}","{""zutat"": ""Barsch"", ""eigenschaft"": ""viktorianisch""}",550.0,g,
472,472,mehl,2 esslöffel,"{""anzahl"": 2, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Mehl""}",0.03,l,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""l"", ""bezeichnung"": ""mehl"", ""erkannteZutat"": ""Mehl""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 99999.0}]]}"
473,473,butterschmalz,1 esslöffel,"{""volumen"": 1, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Butterschmalz""}",0.015,l,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""l"", ""bezeichnung"": ""butterschmalz"", ""erkannteZutat"": ""Butterschmalz""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 99999.0}]]}"
474,474,wasser gesalzen,1 ½ liter,"{""volumen"": ""1 \u00bd"", ""einheit"": ""liter""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""gesalzen""}",1.5,l,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""l"", ""bezeichnung"": ""wasser"", ""erkannteZutat"": ""Trinkwasser""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 99999.0}]]}"
475,475,wildreis,1 ½ tasse,"{""volumen"": ""1 \u00bd"", ""einheit"": ""tasse""}","{""zutat"": ""Reis"", ""eigenschaft"": ""wild""}",0.375,l,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""l"", ""bezeichnung"": ""wildreis"", ""erkannteZutat"": ""Wildreis roh""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 1.3953504600000002}]]}"
476,476,butter,1 esslöffel,"{""volumen"": ""1"", ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Butter""}",0.015,l,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""l"", ""bezeichnung"": ""butter"", ""erkannteZutat"": ""Butter""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 99999.0}]]}"
477,477,schnittlauch frisch gehackt,2 esslöffel,"{""anzahl"": 2, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Schnittlauch"", ""eigenschaft"": ""gehackt""}",0.03,l,"{""detailed_info"": [[{""menge"": ""0.06g"", ""einheit"": ""l"", ""bezeichnung"": ""schnittlauch"", ""erkannteZutat"": ""Schnittlauch""}, {""ZF"": 0.444, ""ZE"": 2.1479999999999997, ""ZK"": 0.954, ""ZA"": 0.0, ""GCAL"": 0.0168, ""QUALI"": 99999.0}]]}"
478,478,rinderhack,250 g,"{""gewicht"": 250, ""einheit"": ""g""}","{""zutat"": ""Rinderhack"", ""eigenschaft"": ""roh""}",250.0,g,
479,479,zwiebel gewürfelt,0.5 stk.,"{""anzahl"": 0.5, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""gew\u00fcrfelt""}",0.5,stk,"{""detailed_info"": [[{""menge"": ""50.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""zwiebel"", ""erkannteZutat"": ""Zwiebeln""}, {""ZF"": 125.0, ""ZE"": 588.5, ""ZK"": 2460.5, ""ZA"": 0.0, ""GCAL"": 14.0, ""QUALI"": 99999.0}]]}"
480,480,quark magerstufe,2 esslöffel,"{""anzahl"": 2, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Quark"", ""eigenschaft"": ""mager""}",0.03,l,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""l"", ""bezeichnung"": ""quark magerstufe"", ""erkannteZutat"": ""Quark""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 1.44842046}]]}"
481,481,senf mittelscharf,1 esslöffel,"{""volumen"": 1, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Senf"", ""eigenschaft"": ""mittelscharf""}",0.015,l,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""l"", ""bezeichnung"": ""senf mittelscharf"", ""erkannteZutat"": ""Senf mittelscharf""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 99999.0}]]}"
482,482,karotten gerieben,0.5 stk.,"{""anzahl"": 0.5, ""einheit"": ""stk.""}","{""zutat"": ""Karotte"", ""eigenschaft"": ""gerieben""}",0.5,stk,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""karotten"", ""erkannteZutat"": ""Karotten-Saftschorle""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 0.20063045999999995}]]}"
483,483,tomaten getrocknet,5 stk.,"{""anzahl"": 5, ""einheit"": ""stk.""}","{""zutat"": ""Tomate"", ""eigenschaft"": ""getrocknet""}",5.0,stk,"{""detailed_info"": [[{""menge"": ""300.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""tomaten getrocknet"", ""erkannteZutat"": ""Tomaten getrocknet""}, {""ZF"": 2556.0, ""ZE"": 11559.0, ""ZK"": 30051.0, ""ZA"": 0.0, ""GCAL"": 207.0, ""QUALI"": 99999.0}]]}"
484,484,semmelbrösel,3 stk.,"{""anzahl"": 3, ""einheit"": ""stk.""}","{""zutat"": ""Semmelbr\u00f6sel""}",3.0,stk,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""semmelbrosel"", ""erkannteZutat"": ""Semmelbr\u00f6sel""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 0.9685504600000002}]]}"
485,485,ei,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Ei""}",1.0,stk,"{""detailed_info"": [[{""menge"": ""50.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""ei"", ""erkannteZutat"": ""H\u00fchnerei""}, {""ZF"": 4660.0, ""ZE"": 5925.0, ""ZK"": 765.0, ""ZA"": 0.0, ""GCAL"": 68.5, ""QUALI"": 99999.0}]]}"
486,486,petersilie fein geschnitten,1 esslöffel,"{""volumen"": 1, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Petersilie"", ""eigenschaft"": ""fein geschnitten""}",0.015,l,"{""detailed_info"": [[{""menge"": ""0.05g"", ""einheit"": ""l"", ""bezeichnung"": ""petersilie geschnitten"", ""erkannteZutat"": ""Petersilienblatt""}, {""ZF"": 0.18, ""ZE"": 2.215, ""ZK"": 3.69, ""ZA"": 0.0, ""GCAL"": 0.026000000000000002, ""QUALI"": 0.86617046}]]}"
487,487,schnittlauch frisch gehackt,1 esslöffel,"{""volumen"": 1, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Schnittlauch"", ""eigenschaft"": ""gehackt""}",0.015,l,"{""detailed_info"": [[{""menge"": ""0.02g"", ""einheit"": ""l"", ""bezeichnung"": ""schnittlauch"", ""erkannteZutat"": ""Schnittlauch""}, {""ZF"": 0.14800000000000002, ""ZE"": 0.7160000000000001, ""ZK"": 0.318, ""ZA"": 0.0, ""GCAL"": 0.005600000000000001, ""QUALI"": 99999.0}]]}"
488,488,zwiebel gewürfelt,0.5 stk.,"{""anzahl"": 0.5, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""gew\u00fcrfelt""}",0.5,stk,"{""detailed_info"": [[{""menge"": ""50.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""zwiebel"", ""erkannteZutat"": ""Zwiebeln""}, {""ZF"": 125.0, ""ZE"": 588.5, ""ZK"": 2460.5, ""ZA"": 0.0, ""GCAL"": 14.0, ""QUALI"": 99999.0}]]}"
489,489,butterschmalz,1 esslöffel,"{""volumen"": 1, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Butterschmalz""}",0.015,l,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""l"", ""bezeichnung"": ""butterschmalz"", ""erkannteZutat"": ""Butterschmalz""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 99999.0}]]}"
490,490,speck durchwachsen,50 g,"{""gewicht"": 50, ""einheit"": ""g""}","{""zutat"": ""Speck"", ""eigenschaft"": ""durchwachsen""}",50.0,g,"{""detailed_info"": [[{""menge"": ""50.0g"", ""einheit"": ""g"", ""bezeichnung"": ""speck"", ""erkannteZutat"": ""Schwein Speck roh ger\u00e4uchert""}, {""ZF"": 14445.5, ""ZE"": 7985.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 160.0, ""QUALI"": 99999.0}]]}"
491,491,plaumenschnaps,2 cl,"{""volumen"": 2, ""einheit"": ""cl""}","{""zutat"": ""Pflaumenschnaps""}",0.02,l,
492,492,kondensmilch     fett,0.75 päckchen,"{""anzahl"": 0.75, ""einheit"": ""P\u00e4ckchen""}","{""zutat"": ""Kondensmilch"", ""eigenschaft"": ""fett""}",0.75,stk,"{""detailed_info"": [[{""menge"": ""3.75g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""fett"", ""erkannteZutat"": ""Bratfett (tierisches Fett)""}, {""ZF"": 3723.75, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 32.925, ""QUALI"": -0.12749953999999986}]]}"
493,493,emmentaler gerieben,40 g,"{""gewicht"": 40, ""einheit"": ""g""}","{""zutat"": ""Emmentaler"", ""eigenschaft"": ""gerieben""}",40.0,g,"{""detailed_info"": [[{""menge"": ""40.0g"", ""einheit"": ""g"", ""bezeichnung"": ""emmentaler"", ""erkannteZutat"": ""Emmentaler""}, {""ZF"": 11939.6, ""ZE"": 11062.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 151.2, ""QUALI"": 99999.0}]]}"
494,494,teigwaren  allgemein hörnchen,120 g,"{""gewicht"": 120, ""einheit"": ""g""}","{""zutat"": ""Teigware"", ""eigenschaft"": ""H\u00f6rnchen""}",120.0,g,"{""detailed_info"": [[{""menge"": ""120.0g"", ""einheit"": ""g"", ""bezeichnung"": ""teigwaren allgemein hornchen"", ""erkannteZutat"": ""Teigwaren roh""}, {""ZF"": 3336.0, ""ZE"": 15956.4, ""ZK"": 83892.0, ""ZA"": 0.0, ""GCAL"": 434.4, ""QUALI"": 1.65771046}]]}"
495,495,wasser gesalzen,1 ½ liter,"{""volumen"": ""1 \u00bd"", ""einheit"": ""liter""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""gesalzen""}",1.5,l,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""l"", ""bezeichnung"": ""wasser"", ""erkannteZutat"": ""Trinkwasser""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 99999.0}]]}"
496,496,sobanudeln,200 g,"{""gewicht"": 200, ""einheit"": ""g""}","{""zutat"": ""Sobanudel"", ""eigenschaft"": ""200 g""}",200.0,g,
497,497,gemüsefond,1 l,"{""volumen"": 1, ""einheit"": ""l""}","{""zutat"": ""Gem\u00fcsefond""}",1.0,l,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""l"", ""bezeichnung"": ""gemusefond"", ""erkannteZutat"": ""Suppenfond Konserve""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 99999.0}]]}"
498,498,thai-spargel,200 g,"{""gewicht"": 200, ""einheit"": ""g""}","{""zutat"": ""Spargel"", ""eigenschaft"": ""thai""}",200.0,g,
499,499,sojasoße,2 el,"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""So\u00dfe"", ""eigenschaft"": ""Sojaso\u00dfe""}",0.03,l,
500,500,misopaste hell,2 el,"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""Misopaste"", ""eigenschaft"": ""hell""}",0.03,l,
501,501,limette,0.5,"{""anzahl"": 0.5, ""einheit"": ""limette""}","{""zutat"": ""Limette""}",0.5,stk,"{""detailed_info"": [[{""menge"": ""20.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""limette"", ""erkannteZutat"": ""Limette""}, {""ZF"": 480.0, ""ZE"": 100.0, ""ZK"": 380.0, ""ZA"": 0.0, ""GCAL"": 9.4, ""QUALI"": 99999.0}]]}"
502,502,wakame algen getrocknet,6 g,"{""gewicht"": 6, ""einheit"": ""g""}","{""zutat"": ""Alge"", ""eigenschaft"": ""getrocknet""}",6.0,g,
503,503,ingwer,1 stck,"{""anzahl"": 1, ""einheit"": ""stck""}","{""zutat"": ""Ingwer""}",1.0,stk,"{""detailed_info"": [[{""menge"": ""5.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""ingwer"", ""erkannteZutat"": ""Ingwerknolle""}, {""ZF"": 50.0, ""ZE"": 59.95, ""ZK"": 450.0, ""ZA"": 0.0, ""GCAL"": 2.5, ""QUALI"": 99999.0}]]}"
504,504,topfen   f i t ,125 g,"{""gewicht"": 125, ""einheit"": ""g""}","{""zutat"": ""Topfen"", ""eigenschaft"": ""top""}",125.0,g,"{""detailed_info"": [[{""menge"": ""125.0g"", ""einheit"": ""g"", ""bezeichnung"": ""topfen f i t"", ""erkannteZutat"": ""Bohnentopf energiereduziert""}, {""ZF"": 4466.25, ""ZE"": 2625.0, ""ZK"": 8597.5, ""ZA"": 0.0, ""GCAL"": 86.25, ""QUALI"": -1.62302954}]]}"
505,505,grapefruit pink frisch,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Grapefruit"", ""eigenschaft"": ""frisch""}",1.0,stk,"{""detailed_info"": [[{""menge"": ""400.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""grapefruit pink"", ""erkannteZutat"": ""Grapefruit""}, {""ZF"": 600.0, ""ZE"": 2400.0, ""ZK"": 29640.0, ""ZA"": 0.0, ""GCAL"": 176.0, ""QUALI"": 1.80037046}]]}"
506,506,orange frisch,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Orange"", ""eigenschaft"": ""frisch""}",1.0,stk,"{""detailed_info"": [[{""menge"": ""150.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""orange"", ""erkannteZutat"": ""Orange roh""}, {""ZF"": 300.0, ""ZE"": 1500.0, ""ZK"": 12375.0, ""ZA"": 0.0, ""GCAL"": 64.5, ""QUALI"": 1.25457046}]]}"
