Unnamed: 0,ingredient,amount,ingr_annotation,amount_annotation,norm_value,norm_unit,nutrition,status,prompt_used,recognized_name
380,lorbeerblatt,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Lorbeerblatt"", ""eigenschaft"": ""ganz""}",1.0,stück,"{""detailed_info"": [[{""menge"": ""0.2g"", ""einheit"": ""stück"", ""bezeichnung"": ""lorbeerblatt"", ""erkannteZutat"": ""Lorbeerblatt getrocknet""}, {""ZF"": 16.8, ""ZE"": 15.2, ""ZK"": 97.2, ""ZA"": 0.0, ""GCAL"": 0.606, ""QUALI"": 0.6037704600000002}]]}",ok,1.0 stück Lorbeerblatt,lorbeerblatt
381,wasser,3000 ml,"{""volumen"": 3000, ""einheit"": ""ml""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""fl\u00fcssig""}",3.0,liter,"{""detailed_info"": [[{""menge"": ""3000.0g"", ""einheit"": ""liter"", ""bezeichnung"": ""wasser"", ""erkannteZutat"": ""Trinkwasser""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 99999.0}]]}",ok,3.0 liter Wasser,wasser
382,eier,6 stück,"{""anzahl"": 6, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Ei"", ""eigenschaft"": ""St\u00fcck""}",6.0,stück,"{""detailed_info"": [[{""menge"": ""300.0g"", ""einheit"": ""stück"", ""bezeichnung"": ""ei"", ""erkannteZutat"": ""Hühnerei""}, {""ZF"": 27960.0, ""ZE"": 35550.0, ""ZK"": 4590.0, ""ZA"": 0.0, ""GCAL"": 411.0, ""QUALI"": 99999.0}]]}",ok,6.0 stück Ei,ei
383,sahne,100 ml,"{""volumen"": 100, ""einheit"": ""ml""}","{""zutat"": ""Sahne""}",0.1,liter,"{""detailed_info"": [[{""menge"": ""100.0g"", ""einheit"": ""liter"", ""bezeichnung"": ""sahne"", ""erkannteZutat"": ""Sahne""}, {""ZF"": 31701.0, ""ZE"": 2360.0, ""ZK"": 3270.0, ""ZA"": 0.0, ""GCAL"": 303.0, ""QUALI"": 99999.0}]]}",ok,0.1 liter Sahne,sahne
385,pfeffer  weiß,1 g,"{""gewicht"": 1, ""einheit"": ""g""}","{""zutat"": ""Pfeffer"", ""eigenschaft"": ""wei\u00df""}",1.0,g,"{""detailed_info"": [[{""menge"": ""1.0g"", ""einheit"": ""g"", ""bezeichnung"": ""pfeffer"", ""erkannteZutat"": ""Pfeffer""}, {""ZF"": 33.0, ""ZE"": 109.0, ""ZK"": 520.0, ""ZA"": 0.0, ""GCAL"": 2.85, ""QUALI"": 99999.0}]]}",ok,1.0 g Pfeffer,pfeffer
386,muskatnuss oder macis,0.3 g,"{""gewicht"": 0.3, ""einheit"": ""g""}","{""zutat"": ""Muskatnuss"", ""eigenschaft"": ""ganz""}",0.3,g,"{""detailed_info"": [[{""menge"": ""0.3g"", ""einheit"": ""g"", ""bezeichnung"": ""muskatnuss"", ""erkannteZutat"": ""Muskatnuss getrocknet""}, {""ZF"": 108.9, ""ZE"": 17.4, ""ZK"": 135.0, ""ZA"": 0.0, ""GCAL"": 1.581, ""QUALI"": 0.4629904600000001}]]}",ok,0.3 g Muskatnuss,muskatnuss
387,suppennudeln,200 g,"{""gewicht"": 200, ""einheit"": ""g""}","{""zutat"": ""Suppennudel""}",200.0,g,"{""detailed_info"": [[{""menge"": ""200.0g"", ""einheit"": ""g"", ""bezeichnung"": ""suppennudel"", ""erkannteZutat"": ""Suppennudeln Konserve""}, {""ZF"": 552.0, ""ZE"": 5276.0, ""ZK"": 28122.0, ""ZA"": 0.0, ""GCAL"": 140.0, ""QUALI"": 0.4502404600000003}]]}",ok,200.0 g Suppennudel,suppennudel
388,kartoffel,300 g,"{""gewicht"": 300, ""einheit"": ""g""}","{""zutat"": ""Kartoffel""}",300.0,g,"{""detailed_info"": [[{""menge"": ""300.0g"", ""einheit"": ""g"", ""bezeichnung"": ""kartoffel"", ""erkannteZutat"": ""Kartoffeln gegart""}, {""ZF"": 39.0, ""ZE"": 5688.0, ""ZK"": 44991.0, ""ZA"": 0.0, ""GCAL"": 210.0, ""QUALI"": 0.9493104600000002}]]}",ok,300.0 g Kartoffel,kartoffel
389,chicoree frisch,500 g,"{""gewicht"": 500, ""einheit"": ""g""}","{""zutat"": ""Chicor\u00e9e"", ""eigenschaft"": ""frisch""}",500.0,g,"{""detailed_info"": [[{""menge"": ""500.0g"", ""einheit"": ""g"", ""bezeichnung"": ""chicorée"", ""erkannteZutat"": ""Chicoree""}, {""ZF"": 900.0, ""ZE"": 6100.0, ""ZK"": 12220.0, ""ZA"": 0.0, ""GCAL"": 85.0, ""QUALI"": 1.07093046}]]}",ok,500.0 g Chicorée,chicorée
390,gekochter schinken,200 g,"{""gewicht"": 200, ""einheit"": ""g""}","{""zutat"": ""Schinken"", ""eigenschaft"": ""gekocht""}",200.0,g,"{""detailed_info"": [[{""menge"": ""200.0g"", ""einheit"": ""g"", ""bezeichnung"": ""schinken"", ""erkannteZutat"": ""Schwein Schinkenspeck""}, {""ZF"": 15470.0, ""ZE"": 41424.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 304.0, ""QUALI"": 1.6148104600000002}]]}",ok,200.0 g Schinken,schinken
391,eier,2,"{""anzahl"": 2, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Ei""}",2.0,stück,"{""detailed_info"": [[{""menge"": ""100.0g"", ""einheit"": ""stück"", ""bezeichnung"": ""ei"", ""erkannteZutat"": ""Hühnerei""}, {""ZF"": 9320.0, ""ZE"": 11850.0, ""ZK"": 1530.0, ""ZA"": 0.0, ""GCAL"": 137.0, ""QUALI"": 99999.0}]]}",ok,2.0 stück Ei,ei
392,fettarme milch,50 ml,"{""volumen"": 50, ""einheit"": ""ml""}","{""zutat"": ""Milch"", ""eigenschaft"": ""fettarm""}",0.05,liter,"{""detailed_info"": [[{""menge"": ""50.0g"", ""einheit"": ""liter"", ""bezeichnung"": ""milch"", ""erkannteZutat"": ""Kuhmilch""}, {""ZF"": 1784.5, ""ZE"": 1691.0, ""ZK"": 2350.0, ""ZA"": 0.0, ""GCAL"": 32.5, ""QUALI"": 99999.0}]]}",ok,0.05 liter Milch,milch
393,fettreduzierte sahne,100 ml,"{""volumen"": 100, ""einheit"": ""ml""}","{""zutat"": ""Sahne"", ""eigenschaft"": ""fettreduziert""}",0.1,liter,"{""detailed_info"": [[{""menge"": ""100.0g"", ""einheit"": ""liter"", ""bezeichnung"": ""sahne"", ""erkannteZutat"": ""Sahne""}, {""ZF"": 31701.0, ""ZE"": 2360.0, ""ZK"": 3270.0, ""ZA"": 0.0, ""GCAL"": 303.0, ""QUALI"": 99999.0}]]}",ok,0.1 liter Sahne,sahne
394,käse gerieben,5 el,"{""volumen"": 5, ""einheit"": ""el""}","{""zutat"": ""K\u00e4se"", ""eigenschaft"": ""gerieben""}",0.075,liter,"{""detailed_info"": [[{""menge"": ""70.0g"", ""einheit"": ""liter"", ""bezeichnung"": ""kase"", ""erkannteZutat"": ""Emmentaler""}, {""ZF"": 20894.3, ""ZE"": 19358.5, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 264.6, ""QUALI"": 99999.0}]]}",ok,0.075 liter Käse,kase
395,äpfel,2,"{""anzahl"": 2, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Apfel""}",2.0,stück,"{""detailed_info"": [[{""menge"": ""230.0g"", ""einheit"": ""stück"", ""bezeichnung"": ""apfel"", ""erkannteZutat"": ""Apfel""}, {""ZF"": 112.7, ""ZE"": 782.0, ""ZK"": 33005.0, ""ZA"": 0.0, ""GCAL"": 140.3, ""QUALI"": 99999.0}]]}",ok,2.0 stück Apfel,apfel
396,sonnenblumenkerne,2 el,"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""Sonnenblumenkern"", ""eigenschaft"": ""roh""}",0.03,liter,"{""detailed_info"": [[{""menge"": ""30.0g"", ""einheit"": ""liter"", ""bezeichnung"": ""sonnenblumenkern"", ""erkannteZutat"": ""Sonnenblumenkern""}, {""ZF"": 7890.0, ""ZE"": 7833.0, ""ZK"": 10422.0, ""ZA"": 0.0, ""GCAL"": 144.0, ""QUALI"": 99999.0}]]}",ok,0.03 liter Sonnenblumenkern,sonnenblumenkern
397,fenchel frisch,500 g,"{""gewicht"": 500, ""einheit"": ""g""}","{""zutat"": ""Fenchel"", ""eigenschaft"": ""frisch""}",500.0,g,"{""detailed_info"": [[{""menge"": ""500.0g"", ""einheit"": ""g"", ""bezeichnung"": ""fenchel"", ""erkannteZutat"": ""Fenchel""}, {""ZF"": 1000.0, ""ZE"": 7000.0, ""ZK"": 15000.0, ""ZA"": 0.0, ""GCAL"": 95.0, ""QUALI"": 99999.0}]]}",ok,500.0 g Fenchel,fenchel
398,rapsöl,4 tl,"{""volumen"": 4, ""einheit"": ""tl""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""Raps""}",0.02,liter,"{""detailed_info"": [[{""menge"": ""20.0g"", ""einheit"": ""liter"", ""bezeichnung"": ""ol"", ""erkannteZutat"": ""Sonnenblumenöl""}, {""ZF"": 20000.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 176.8, ""QUALI"": 99999.0}]]}",ok,0.02 liter Öl,ol
399,salami,100 g,"{""gewicht"": 100, ""einheit"": ""g""}","{""zutat"": ""Salami""}",100.0,g,"{""detailed_info"": [[{""menge"": ""100.0g"", ""einheit"": ""g"", ""bezeichnung"": ""salami"", ""erkannteZutat"": ""Salami""}, {""ZF"": 32637.0, ""ZE"": 19364.0, ""ZK"": 1837.0, ""ZA"": 0.0, ""GCAL"": 375.0, ""QUALI"": 99999.0}]]}",ok,100.0 g Salami,salami
401,fischfilet  z b  rotbarsch ,250 gramm,"{""gewicht"": 250, ""einheit"": ""gramm""}","{""zutat"": ""Fischfilet"", ""eigenschaft"": ""rot""}",250.0,g,"{""detailed_info"": [[{""menge"": ""250.0g"", ""einheit"": ""g"", ""bezeichnung"": ""fischfilet"", ""erkannteZutat"": ""Fische roh""}, {""ZF"": 5975.0, ""ZE"": 48300.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 250.0, ""QUALI"": 1.25457046}]]}",ok,250.0 g Fischfilet,fischfilet
403,olivenöl,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""oliven""}",0.015,liter,"{""detailed_info"": [[{""menge"": ""10.0g"", ""einheit"": ""liter"", ""bezeichnung"": ""ol"", ""erkannteZutat"": ""Sonnenblumenöl""}, {""ZF"": 10000.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 88.4, ""QUALI"": 99999.0}]]}",ok,0.015 liter Öl,ol
404,zucchini   g ,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zucchini""}",1.0,stück,"{""detailed_info"": [[{""menge"": ""175.0g"", ""einheit"": ""stück"", ""bezeichnung"": ""zucchini"", ""erkannteZutat"": ""Zucchini roh""}, {""ZF"": 502.25, ""ZE"": 3552.5, ""ZK"": 3946.25, ""ZA"": 0.0, ""GCAL"": 36.75, ""QUALI"": 1.3953504600000002}]]}",ok,1.0 stück Zucchini,zucchini
405,stückige tomaten,1 kl. dose,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Tomate"", ""eigenschaft"": ""st\u00fcckig""}",1.0,stück,"{""detailed_info"": [[{""menge"": ""60.0g"", ""einheit"": ""stück"", ""bezeichnung"": ""tomate"", ""erkannteZutat"": ""Tomaten""}, {""ZF"": 126.0, ""ZE"": 570.0, ""ZK"": 1560.0, ""ZA"": 0.0, ""GCAL"": 10.2, ""QUALI"": 1.1925104600000003}]]}",ok,1.0 stück Tomate,tomate
406,basilikum,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""Basilikum""}",0.015,liter,"{""detailed_info"": [[{""menge"": ""10.0g"", ""einheit"": ""liter"", ""bezeichnung"": ""basilikum"", ""erkannteZutat"": ""Basilikum frisch""}, {""ZF"": 80.0, ""ZE"": 310.0, ""ZK"": 510.0, ""ZA"": 0.0, ""GCAL"": 4.1, ""QUALI"": 0.87892046}]]}",ok,0.015 liter Basilikum,basilikum
407,zitrone unbehandelt,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zitrone"", ""eigenschaft"": ""unbehandelt""}",1.0,stück,"{""detailed_info"": [[{""menge"": ""60.0g"", ""einheit"": ""stück"", ""bezeichnung"": ""zitrone"", ""erkannteZutat"": ""Zitrone""}, {""ZF"": 360.0, ""ZE"": 420.0, ""ZK"": 1896.0, ""ZA"": 0.0, ""GCAL"": 21.6, ""QUALI"": 99999.0}]]}",ok,1.0 stück Zitrone,zitrone
408,petersilie,0.25 bund,"{""anzahl"": 0.25, ""einheit"": ""bund""}","{""zutat"": ""Petersilie"", ""eigenschaft"": ""Bund""}",0.25,stück,"{""detailed_info"": [[{""menge"": ""1.25g"", ""einheit"": ""stück"", ""bezeichnung"": ""petersilie"", ""erkannteZutat"": ""Petersilienblatt""}, {""ZF"": 4.5, ""ZE"": 55.375, ""ZK"": 92.25, ""ZA"": 0.0, ""GCAL"": 0.65, ""QUALI"": 0.86617046}]]}",ok,0.25 stück Petersilie,petersilie
409,dill frisch,0.25 bund,"{""anzahl"": 0.25, ""einheit"": ""Bund""}","{""zutat"": ""Dill"", ""eigenschaft"": ""frisch""}",0.25,stück,"{""detailed_info"": [[{""menge"": ""0.25g"", ""einheit"": ""g"", ""bezeichnung"": ""dill"", ""erkannteZutat"": ""Dill""}, {""ZF"": 2.0, ""ZE"": 9.25, ""ZK"": 20.0, ""ZA"": 0.0, ""GCAL"": 0.1375, ""QUALI"": 99999.0}]]}",ok,0.25 g dill frisch,dill
410,lachsfilet,300 gramm,"{""gewicht"": 300, ""einheit"": ""gramm""}","{""zutat"": ""Lachsfilet""}",300.0,g,"{""detailed_info"": [[{""menge"": ""300.0g"", ""einheit"": ""g"", ""bezeichnung"": ""lachsfilet"", ""erkannteZutat"": ""Lachs roh""}, {""ZF"": 33597.0, ""ZE"": 59700.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 540.0, ""QUALI"": 1.1841804599999999}]]}",ok,300.0 g Lachsfilet,lachsfilet
411,grüner spargel,100 gramm,"{""gewicht"": 100, ""einheit"": ""gramm""}","{""zutat"": ""Spargel"", ""eigenschaft"": ""gr\u00fcn""}",100.0,g,"{""detailed_info"": [[{""menge"": ""100.0g"", ""einheit"": ""g"", ""bezeichnung"": ""spargel"", ""erkannteZutat"": ""Spargel roh""}, {""ZF"": 156.0, ""ZE"": 1960.0, ""ZK"": 2040.0, ""ZA"": 0.0, ""GCAL"": 18.0, ""QUALI"": 1.32496046}]]}",ok,100.0 g Spargel,spargel
412,weißer bruch- spargel,100 gramm,"{""gewicht"": 100, ""einheit"": ""gramm""}","{""zutat"": ""Spargel"", ""eigenschaft"": ""bruch-""}",100.0,g,"{""detailed_info"": [[{""menge"": ""100.0g"", ""einheit"": ""g"", ""bezeichnung"": ""spargel"", ""erkannteZutat"": ""Spargel roh""}, {""ZF"": 156.0, ""ZE"": 1960.0, ""ZK"": 2040.0, ""ZA"": 0.0, ""GCAL"": 18.0, ""QUALI"": 1.32496046}]]}",ok,100.0 g Spargel,spargel
413,junge möhren,100 gramm,"{""gewicht"": 100, ""einheit"": ""gramm""}","{""zutat"": ""M\u00f6hre"", ""eigenschaft"": ""jung""}",100.0,g,"{""detailed_info"": [[{""menge"": ""100.0g"", ""einheit"": ""g"", ""bezeichnung"": ""mohre"", ""erkannteZutat"": ""Karotte (Mohrrübe, Möhre) roh""}, {""ZF"": 180.0, ""ZE"": 840.0, ""ZK"": 6799.0, ""ZA"": 0.0, ""GCAL"": 33.0, ""QUALI"": -1.64410954}]]}",ok,100.0 g Möhre,mohre
414,grünkern burger,1 päckchen,"{""anzahl"": 1, ""einheit"": ""P\u00e4ckchen""}","{""zutat"": ""Gr\u00fcnkern"", ""eigenschaft"": ""burger""}",1.0,stück,"{""detailed_info"": [[{""menge"": ""1.0g"", ""einheit"": ""g"", ""bezeichnung"": ""grunkern burger"", ""erkannteZutat"": ""Grünkern roh""}, {""ZF"": 27.0, ""ZE"": 115.95, ""ZK"": 632.0, ""ZA"": 0.0, ""GCAL"": 3.27, ""QUALI"": 0.8066904600000002}]]}",ok,1.0 g grünkern burger,grunkern burger
415,wasser kochend,250 ml,"{""volumen"": 250, ""einheit"": ""ml""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""kochend""}",0.25,liter,"{""detailed_info"": [[{""menge"": ""250.0g"", ""einheit"": ""liter"", ""bezeichnung"": ""wasser"", ""erkannteZutat"": ""Trinkwasser""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 99999.0}]]}",ok,0.25 liter Wasser,wasser
416,karotten gewürfelt,0.5 stk.,"{""anzahl"": 0.5, ""einheit"": ""stk.""}","{""zutat"": ""Karotte"", ""eigenschaft"": ""gew\u00fcrfelt""}",0.5,stück,"{""detailed_info"": [[{""menge"": ""0.5g"", ""einheit"": ""g"", ""bezeichnung"": ""karotten gewurfelt"", ""erkannteZutat"": ""Karotten-Saftschorle""}, {""ZF"": 0.38, ""ZE"": 1.575, ""ZK"": 11.875, ""ZA"": 0.0, ""GCAL"": 0.06, ""QUALI"": 0.39260045999999993}]]}",ok,0.5 g karotten gewürfelt,karotten gewurfelt
417,zwiebel gewürfelt,0.5 stk.,"{""anzahl"": 0.5, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""gew\u00fcrfelt""}",0.5,stück,"{""detailed_info"": [[{""menge"": ""50.0g"", ""einheit"": ""stück"", ""bezeichnung"": ""zwiebel"", ""erkannteZutat"": ""Zwiebeln""}, {""ZF"": 125.0, ""ZE"": 588.5, ""ZK"": 2460.5, ""ZA"": 0.0, ""GCAL"": 14.0, ""QUALI"": 99999.0}]]}",ok,0.5 stück Zwiebel,zwiebel
418,walnüsse gehackt,2 ½ esslöffel,"{""anzahl"": 2.5, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Walnuss"", ""eigenschaft"": ""gehackt""}",0.0375,liter,"{""detailed_info"": [[{""menge"": ""40.0g"", ""einheit"": ""liter"", ""bezeichnung"": ""walnuss"", ""erkannteZutat"": ""Walnuss roh""}, {""ZF"": 28240.0, ""ZE"": 6428.0, ""ZK"": 2436.4, ""ZA"": 0.0, ""GCAL"": 285.6, ""QUALI"": 1.32496046}]]}",ok,0.0375 liter Walnuss,walnuss
419,sesam,2 esslöffel,"{""volumen"": 2, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Sesam"", ""eigenschaft"": ""2 Essl\u00f6ffel""}",0.03,liter,"{""detailed_info"": [[{""menge"": ""30.0g"", ""einheit"": ""liter"", ""bezeichnung"": ""sesam"", ""erkannteZutat"": ""Sesam""}, {""ZF"": 15120.0, ""ZE"": 6268.8, ""ZK"": 3060.0, ""ZA"": 0.0, ""GCAL"": 171.6, ""QUALI"": 99999.0}]]}",ok,0.03 liter Sesam,sesam
420,butterschmalz,2 esslöffel,"{""anzahl"": 2, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Butterschmalz""}",0.03,liter,"{""detailed_info"": [[{""menge"": ""30.0g"", ""einheit"": ""liter"", ""bezeichnung"": ""butterschmalz"", ""erkannteZutat"": ""Butterschmalz""}, {""ZF"": 29850.0, ""ZE"": 75.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 264.0, ""QUALI"": 99999.0}]]}",ok,0.03 liter Butterschmalz,butterschmalz
421,kartoffeln festkochendgeschält,6 stk.,"{""anzahl"": 6, ""einheit"": ""stk.""}","{""zutat"": ""Kartoffel"", ""eigenschaft"": ""gesch\u00e4lt""}",6.0,stück,"{""detailed_info"": [[{""menge"": ""600.0g"", ""einheit"": ""stück"", ""bezeichnung"": ""kartoffel"", ""erkannteZutat"": ""Kartoffeln gegart""}, {""ZF"": 78.0, ""ZE"": 11376.0, ""ZK"": 89982.0, ""ZA"": 0.0, ""GCAL"": 420.0, ""QUALI"": 0.9493104600000002}]]}",ok,6.0 stück Kartoffel,kartoffel
422,wasser gesalzen,1 liter,"{""volumen"": 1, ""einheit"": ""liter""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""gesalzen""}",1.0,liter,"{""detailed_info"": [[{""menge"": ""1000.0g"", ""einheit"": ""liter"", ""bezeichnung"": ""wasser"", ""erkannteZutat"": ""Trinkwasser""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 99999.0}]]}",ok,1.0 liter Wasser,wasser
423,muskatnuss frisch gerieben,1 prise,"{""anzahl"": 1, ""einheit"": ""Prise"", ""zutat"": ""Muskatnuss""}","{""zutat"": ""Muskatnuss"", ""eigenschaft"": ""gerieben""}",0.0005,liter,"{""detailed_info"": [[{""menge"": ""1000.0g"", ""einheit"": ""liter"", ""bezeichnung"": ""muskatnuss"", ""erkannteZutat"": ""Muskatnuss getrocknet""}, {""ZF"": 363000.0, ""ZE"": 58000.0, ""ZK"": 450000.0, ""ZA"": 0.0, ""GCAL"": 5270.0, ""QUALI"": 0.4629904600000001}]]}",ok,0.0005 liter Muskatnuss,muskatnuss
425,pfeffer aus der mühleschwarz,1 prise,"{""anzahl"": 1, ""einheit"": ""Prise""}","{""zutat"": ""Pfeffer"", ""eigenschaft"": ""schwarz""}",0.0005,liter,"{""detailed_info"": [[{""menge"": ""1000.0g"", ""einheit"": ""liter"", ""bezeichnung"": ""pfeffer"", ""erkannteZutat"": ""Pfeffer""}, {""ZF"": 33000.0, ""ZE"": 109000.0, ""ZK"": 520000.0, ""ZA"": 0.0, ""GCAL"": 2850.0, ""QUALI"": 99999.0}]]}",ok,0.0005 liter Pfeffer,pfeffer
426,milch heiß,1 schuss,"{""anzahl"": 1, ""einheit"": ""schuss""}","{""zutat"": ""Schuss"", ""eigenschaft"": ""hei\u00df""}",0.02,liter,"{""detailed_info"": [[{""menge"": ""0.02g"", ""einheit"": ""g"", ""bezeichnung"": ""milch"", ""erkannteZutat"": ""Kuhmilch""}, {""ZF"": 0.7138, ""ZE"": 0.6764, ""ZK"": 0.94, ""ZA"": 0.0, ""GCAL"": 0.013000000000000001, ""QUALI"": 99999.0}]]}",ok,0.02 g milch heiß,milch
427,butter,60 g,"{""gewicht"": 60, ""einheit"": ""g""}","{""zutat"": ""Butter""}",60.0,g,"{""detailed_info"": [[{""menge"": ""60.0g"", ""einheit"": ""g"", ""bezeichnung"": ""butter"", ""erkannteZutat"": ""Butter""}, {""ZF"": 49919.4, ""ZE"": 402.0, ""ZK"": 360.0, ""ZA"": 0.0, ""GCAL"": 444.6, ""QUALI"": 99999.0}]]}",ok,60.0 g Butter,butter
428,karotten gewürfelt,0.5 stk.,"{""anzahl"": 0.5, ""einheit"": ""stk.""}","{""zutat"": ""Karotte"", ""eigenschaft"": ""gew\u00fcrfelt""}",0.5,stück,"{""detailed_info"": [[{""menge"": ""0.5g"", ""einheit"": ""g"", ""bezeichnung"": ""karotten gewurfelt"", ""erkannteZutat"": ""Karotten-Saftschorle""}, {""ZF"": 0.38, ""ZE"": 1.575, ""ZK"": 11.875, ""ZA"": 0.0, ""GCAL"": 0.06, ""QUALI"": 0.39260045999999993}]]}",ok,0.5 g karotten gewürfelt,karotten gewurfelt
430,zwiebel gewürfelt,0.5 stk.,"{""anzahl"": 0.5, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""gew\u00fcrfelt""}",0.5,stück,"{""detailed_info"": [[{""menge"": ""50.0g"", ""einheit"": ""stück"", ""bezeichnung"": ""zwiebel"", ""erkannteZutat"": ""Zwiebeln""}, {""ZF"": 125.0, ""ZE"": 588.5, ""ZK"": 2460.5, ""ZA"": 0.0, ""GCAL"": 14.0, ""QUALI"": 99999.0}]]}",ok,0.5 stück Zwiebel,zwiebel
431,fleischbrühe,1 liter,"{""volumen"": 1, ""einheit"": ""liter""}","{""zutat"": ""Fleischbr\u00fche"", ""eigenschaft"": ""fl\u00fcssig""}",1.0,liter,"{""detailed_info"": [[{""menge"": ""8.0g"", ""einheit"": ""liter"", ""bezeichnung"": ""fleischbruhe"", ""erkannteZutat"": ""Fleischbrühe (Würfel)""}, {""ZF"": 320.16, ""ZE"": 1360.0, ""ZK"": 880.0, ""ZA"": 0.0, ""GCAL"": 11.92, ""QUALI"": 0.06630046000000012}]]}",ok,1.0 liter Fleischbrühe,fleischbruhe
432,petersilie,1 esslöffel,"{""volumen"": 1, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Petersilie""}",0.015,liter,"{""detailed_info"": [[{""menge"": ""10.0g"", ""einheit"": ""liter"", ""bezeichnung"": ""petersilie"", ""erkannteZutat"": ""Petersilienblatt""}, {""ZF"": 36.0, ""ZE"": 443.0, ""ZK"": 738.0, ""ZA"": 0.0, ""GCAL"": 5.2, ""QUALI"": 0.86617046}]]}",ok,0.015 liter Petersilie,petersilie
433,zwiebel gewürfelt,0.5 stk.,"{""anzahl"": 0.5, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""gew\u00fcrfelt""}",0.5,stück,"{""detailed_info"": [[{""menge"": ""50.0g"", ""einheit"": ""stück"", ""bezeichnung"": ""zwiebel"", ""erkannteZutat"": ""Zwiebeln""}, {""ZF"": 125.0, ""ZE"": 588.5, ""ZK"": 2460.5, ""ZA"": 0.0, ""GCAL"": 14.0, ""QUALI"": 99999.0}]]}",ok,0.5 stück Zwiebel,zwiebel
434,endivien frisch,4 blatt,"{""anzahl"": 4, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Endivie"", ""eigenschaft"": ""frisch""}",4.0,stück,"{""detailed_info"": [[{""menge"": ""4.0g"", ""einheit"": ""g"", ""bezeichnung"": ""endivien"", ""erkannteZutat"": ""Endivien roh""}, {""ZF"": 8.0, ""ZE"": 70.0, ""ZK"": 49.6, ""ZA"": 0.0, ""GCAL"": 0.6, ""QUALI"": 1.3953504600000002}]]}",ok,4.0 g endivien frisch,endivien
435,mehl gesiebt,500 g,"{""gewicht"": 500, ""einheit"": ""g""}","{""zutat"": ""Mehl"", ""eigenschaft"": ""gesiebt""}",500.0,g,"{""detailed_info"": [[{""menge"": ""500.0g"", ""einheit"": ""g"", ""bezeichnung"": ""mehl"", ""erkannteZutat"": ""Mehl""}, {""ZF"": 4900.0, ""ZE"": 50200.0, ""ZK"": 361705.0, ""ZA"": 0.0, ""GCAL"": 1715.0, ""QUALI"": 99999.0}]]}",ok,500.0 g Mehl,mehl
436,hefe,1 päckchen,"{""anzahl"": 1, ""einheit"": ""P\u00e4ckchen""}","{""zutat"": ""Hefe""}",1.0,stück,"{""detailed_info"": [[{""menge"": ""1.0g"", ""einheit"": ""g"", ""bezeichnung"": ""hefe"", ""erkannteZutat"": ""Hefe""}, {""ZF"": 15.0, ""ZE"": 356.0, ""ZK"": 320.0, ""ZA"": 0.0, ""GCAL"": 2.88, ""QUALI"": 99999.0}]]}",ok,1.0 g hefe,hefe
