,ingredient,amount,ingr_annotation,amount_annotation
367,chilipulver,0.25 g,"{""gewicht"": 0.25, ""einheit"": ""g""}","{""zutat"": ""Chilipulver""}"
368,liebstöckel  getrocknet,0.5 g,"{""gewicht"": 0.5, ""einheit"": ""g""}","{""zutat"": ""Liebst\u00f6ckel"", ""eigenschaft"": ""getrocknet""}"
369,speisestärke,12 g,"{""gewicht"": 12, ""einheit"": ""g""}","{""zutat"": ""Speisest\u00e4rke""}"
370,dunkle sojasauce,25 ml,"{""volumen"": 25, ""einheit"": ""ml""}","{""zutat"": ""Sojasauce"", ""eigenschaft"": ""dunkel""}"
371,zitronensaft,10 ml,"{""volumen"": 10, ""einheit"": ""ml""}","{""zutat"": ""Zitronensaft""}"
372,wasser,1000 ml,"{""volumen"": 1000, ""einheit"": ""ml""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""fl\u00fcssig""}"
373,suppenhuhn,1200 g,"{""gewicht"": 1200, ""einheit"": ""g""}","{""zutat"": ""Suppenhuhn""}"
374,suppengrün  sellerie möhre  petersilie,400 g,"{""gewicht"": 400, ""einheit"": ""g""}","{""zutat"": ""Suppengr\u00fcn""}"
375,spargel,400 g,"{""gewicht"": 400, ""einheit"": ""g""}","{""zutat"": ""Spargel""}"
376,rosenkohl,400 g,"{""gewicht"": 400, ""einheit"": ""g""}","{""zutat"": ""Rosenkohl"", ""eigenschaft"": ""roh""}"
377,salz,10 g,"{""gewicht"": 10, ""einheit"": ""g""}","{""zutat"": ""Salz"", ""eigenschaft"": ""fein""}"
378,safran,0.1 g,"{""gewicht"": 0.1, ""einheit"": ""g""}","{""zutat"": ""Safran""}"
379,pfeffer,2 g,"{""gewicht"": 2, ""einheit"": ""g""}","{""zutat"": ""Pfeffer""}"
380,lorbeerblatt,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Lorbeerblatt"", ""eigenschaft"": ""ganz""}"
381,wasser,3000 ml,"{""volumen"": 3000, ""einheit"": ""ml""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""fl\u00fcssig""}"
382,eier,6 stück,"{""anzahl"": 6, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Ei"", ""eigenschaft"": ""St\u00fcck""}"
383,sahne,100 ml,"{""volumen"": 100, ""einheit"": ""ml""}","{""zutat"": ""Sahne""}"
384,salz,10 g,"{""gewicht"": 10, ""einheit"": ""g""}","{""zutat"": ""Salz""}"
385,pfeffer  weiß,1 g,"{""gewicht"": 1, ""einheit"": ""g""}","{""zutat"": ""Pfeffer"", ""eigenschaft"": ""wei\u00df""}"
386,muskatnuss oder macis,0.3 g,"{""gewicht"": 0.3, ""einheit"": ""g""}","{""zutat"": ""Muskatnuss"", ""eigenschaft"": ""ganz""}"
387,suppennudeln,200 g,"{""gewicht"": 200, ""einheit"": ""g""}","{""zutat"": ""Suppennudel""}"
388,kartoffel,300 g,"{""gewicht"": 300, ""einheit"": ""g""}","{""zutat"": ""Kartoffel""}"
389,chicoree frisch,500 g,"{""gewicht"": 500, ""einheit"": ""g""}","{""zutat"": ""Chicor\u00e9e"", ""eigenschaft"": ""frisch""}"
390,gekochter schinken,200 g,"{""gewicht"": 200, ""einheit"": ""g""}","{""zutat"": ""Schinken"", ""eigenschaft"": ""gekocht""}"
391,eier,2,"{""anzahl"": 2, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Ei""}"
392,fettarme milch,50 ml,"{""volumen"": 50, ""einheit"": ""ml""}","{""zutat"": ""Milch"", ""eigenschaft"": ""fettarm""}"
393,fettreduzierte sahne,100 ml,"{""volumen"": 100, ""einheit"": ""ml""}","{""zutat"": ""Sahne"", ""eigenschaft"": ""fettreduziert""}"
394,käse gerieben,5 el,"{""volumen"": 5, ""einheit"": ""el""}","{""zutat"": ""K\u00e4se"", ""eigenschaft"": ""gerieben""}"
395,äpfel,2,"{""anzahl"": 2, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Apfel""}"
396,sonnenblumenkerne,2 el,"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""Sonnenblumenkern"", ""eigenschaft"": ""roh""}"
397,fenchel frisch,500 g,"{""gewicht"": 500, ""einheit"": ""g""}","{""zutat"": ""Fenchel"", ""eigenschaft"": ""frisch""}"
398,rapsöl,4 tl,"{""volumen"": 4, ""einheit"": ""tl""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""Raps""}"
399,salami,100 g,"{""gewicht"": 100, ""einheit"": ""g""}","{""zutat"": ""Salami""}"
400,eiweißbrot,2 scheiben,"{""anzahl"": 2, ""einheit"": ""Scheiben""}","{""zutat"": ""Scheibe"", ""eigenschaft"": ""Eiwei\u00dfbrot""}"
401,fischfilet  z b  rotbarsch ,250 gramm,"{""gewicht"": 250, ""einheit"": ""gramm""}","{""zutat"": ""Fischfilet"", ""eigenschaft"": ""rot""}"
402,thymianzweig,1,"{""anzahl"": 1, ""einheit"": ""Zweig""}","{""zutat"": ""Thymianzweig""}"
403,olivenöl,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""oliven""}"
404,zucchini   g ,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zucchini""}"
405,stückige tomaten,1 kl. dose,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Tomate"", ""eigenschaft"": ""st\u00fcckig""}"
406,basilikum,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""Basilikum""}"
407,zitrone unbehandelt,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zitrone"", ""eigenschaft"": ""unbehandelt""}"
408,petersilie,0.25 bund,"{""anzahl"": 0.25, ""einheit"": ""bund""}","{""zutat"": ""Petersilie"", ""eigenschaft"": ""Bund""}"
409,dill frisch,0.25 bund,"{""anzahl"": 0.25, ""einheit"": ""Bund""}","{""zutat"": ""Dill"", ""eigenschaft"": ""frisch""}"
410,lachsfilet,300 gramm,"{""gewicht"": 300, ""einheit"": ""gramm""}","{""zutat"": ""Lachsfilet""}"
411,grüner spargel,100 gramm,"{""gewicht"": 100, ""einheit"": ""gramm""}","{""zutat"": ""Spargel"", ""eigenschaft"": ""gr\u00fcn""}"
412,weißer bruch- spargel,100 gramm,"{""gewicht"": 100, ""einheit"": ""gramm""}","{""zutat"": ""Spargel"", ""eigenschaft"": ""bruch-""}"
413,junge möhren,100 gramm,"{""gewicht"": 100, ""einheit"": ""gramm""}","{""zutat"": ""M\u00f6hre"", ""eigenschaft"": ""jung""}"
414,grünkern burger,1 päckchen,"{""anzahl"": 1, ""einheit"": ""P\u00e4ckchen""}","{""zutat"": ""Gr\u00fcnkern"", ""eigenschaft"": ""burger""}"
415,wasser kochend,250 ml,"{""volumen"": 250, ""einheit"": ""ml""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""kochend""}"
416,karotten gewürfelt,0.5 stk.,"{""anzahl"": 0.5, ""einheit"": ""stk.""}","{""zutat"": ""Karotte"", ""eigenschaft"": ""gew\u00fcrfelt""}"
417,zwiebel gewürfelt,0.5 stk.,"{""anzahl"": 0.5, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""gew\u00fcrfelt""}"
418,walnüsse gehackt,2 ½ esslöffel,"{""anzahl"": 2.5, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Walnuss"", ""eigenschaft"": ""gehackt""}"
419,sesam,2 esslöffel,"{""volumen"": 2, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Sesam"", ""eigenschaft"": ""2 Essl\u00f6ffel""}"
420,butterschmalz,2 esslöffel,"{""anzahl"": 2, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Butterschmalz""}"
421,kartoffeln festkochendgeschält,6 stk.,"{""anzahl"": 6, ""einheit"": ""stk.""}","{""zutat"": ""Kartoffel"", ""eigenschaft"": ""gesch\u00e4lt""}"
422,wasser gesalzen,1 liter,"{""volumen"": 1, ""einheit"": ""liter""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""gesalzen""}"
423,muskatnuss frisch gerieben,1 prise,"{""anzahl"": 1, ""einheit"": ""Prise"", ""zutat"": ""Muskatnuss""}","{""zutat"": ""Muskatnuss"", ""eigenschaft"": ""gerieben""}"
424,salz,1 teelöffel,"{""anzahl"": 1, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Salz""}"
425,pfeffer aus der mühleschwarz,1 prise,"{""anzahl"": 1, ""einheit"": ""Prise""}","{""zutat"": ""Pfeffer"", ""eigenschaft"": ""schwarz""}"
426,milch heiß,1 schuss,"{""anzahl"": 1, ""einheit"": ""schuss""}","{""zutat"": ""Schuss"", ""eigenschaft"": ""hei\u00df""}"
427,butter,60 g,"{""gewicht"": 60, ""einheit"": ""g""}","{""zutat"": ""Butter""}"
428,karotten gewürfelt,0.5 stk.,"{""anzahl"": 0.5, ""einheit"": ""stk.""}","{""zutat"": ""Karotte"", ""eigenschaft"": ""gew\u00fcrfelt""}"
429,prinzessbohnen gewürfelt,60 g,"{""gewicht"": 60, ""einheit"": ""g""}","{""zutat"": ""Prinzessbohne"", ""eigenschaft"": ""gew\u00fcrfelt""}"
430,zwiebel gewürfelt,0.5 stk.,"{""anzahl"": 0.5, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""gew\u00fcrfelt""}"
431,fleischbrühe,1 liter,"{""volumen"": 1, ""einheit"": ""liter""}","{""zutat"": ""Fleischbr\u00fche"", ""eigenschaft"": ""fl\u00fcssig""}"
432,petersilie,1 esslöffel,"{""volumen"": 1, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Petersilie""}"
433,zwiebel gewürfelt,0.5 stk.,"{""anzahl"": 0.5, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""gew\u00fcrfelt""}"
434,endivien frisch,4 blatt,"{""anzahl"": 4, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Endivie"", ""eigenschaft"": ""frisch""}"
435,mehl gesiebt,500 g,"{""gewicht"": 500, ""einheit"": ""g""}","{""zutat"": ""Mehl"", ""eigenschaft"": ""gesiebt""}"
436,hefe,1 päckchen,"{""anzahl"": 1, ""einheit"": ""P\u00e4ckchen""}","{""zutat"": ""Hefe""}"
437,zucker,1 prise,"{""anzahl"": 1, ""einheit"": ""Prise"", ""zutat"": ""zucker""}","{""zutat"": ""Zucker"", ""eigenschaft"": ""Prise""}"
438,salz grob,1 teelöffel,"{""volumen"": 1, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Salz"", ""eigenschaft"": ""grob""}"
439,olivenöl extra vergine,2 esslöffel,"{""anzahl"": 2, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""extra vergine""}"
440,wasser lauwarm,200 ml,"{""volumen"": 200, ""einheit"": ""ml""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""lauwarm""}"
441,ei,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Ei""}"
442,endivien frisch,0.5 stk.,"{""anzahl"": 0.5, ""einheit"": ""stk.""}","{""zutat"": ""Endivie"", ""eigenschaft"": ""frisch""}"
443,speck durchwachsen,150 g,"{""gewicht"": 150, ""einheit"": ""g""}","{""zutat"": ""Speck"", ""eigenschaft"": ""durchwachsen""}"
444,zwiebel,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel""}"
445,knoblauchzehen gehackt,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Knoblauchzehe"", ""eigenschaft"": ""gehackt""}"
446,oliven schwarz entsteint,1 dose,"{""anzahl"": 1, ""einheit"": ""Dose""}","{""zutat"": ""Olive"", ""eigenschaft"": ""entsteint""}"
447,sardellen  anchovis ,3 stk.,"{""anzahl"": 3, ""einheit"": ""stk.""}","{""zutat"": ""Sardelle""}"
448,kapern,1 dose,"{""anzahl"": 1, ""einheit"": ""dose""}","{""zutat"": ""Kaper"", ""eigenschaft"": ""Konserve""}"
449,salz und pfeffer,1 ½ teelöffel,"{""anzahl"": 1.5, ""einheit"": ""teel\u00f6ffel"", ""zutat"": ""salz""}","{""zutat"": ""Teel\u00f6ffel"", ""eigenschaft"": ""halb""}"
450,muskatnuss frisch gerieben,2 prise,"{""anzahl"": 2, ""einheit"": ""Prise""}","{""zutat"": ""Muskatnuss"", ""eigenschaft"": ""gerieben""}"
451,pfeffer aus der mühleschwarz,3 prise,"{""anzahl"": 3, ""einheit"": ""prise"", ""zutat"": ""pfeffer""}","{""zutat"": ""Pfeffer"", ""eigenschaft"": ""schwarz""}"
452,sahne,1 päckchen,"{""anzahl"": 1, ""einheit"": ""P\u00e4ckchen""}","{""zutat"": ""Sahne""}"
453,eier,2 stk.,"{""anzahl"": 2, ""einheit"": ""stk.""}","{""zutat"": ""Ei"", ""eigenschaft"": ""ganz""}"
454,schnittlauch frisch gehackt,1 bund,"{""anzahl"": 1, ""einheit"": ""bund""}","{""zutat"": ""Schnittlauch"", ""eigenschaft"": ""gehackt""}"
455,karotten gerieben,300 g,"{""gewicht"": 300, ""einheit"": ""g""}","{""zutat"": ""Karotte"", ""eigenschaft"": ""gerieben""}"
456,apfel elstar,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Apfel"", ""eigenschaft"": ""Elstar""}"
457,salz grob,1 teelöffel,"{""anzahl"": 1, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Salz"", ""eigenschaft"": ""grob""}"
458,zucker,0.5 teelöffel,"{""anzahl"": 0.5, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Teel\u00f6ffel"", ""eigenschaft"": ""0.5""}"
459,rapsöl,4 esslöffel,"{""anzahl"": 4, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""Raps-""}"
460,zitronensaft,2 esslöffel,"{""volumen"": 2, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Zitronensaft""}"
461,wasser,2 ½ liter,"{""volumen"": ""2 \u00bd"", ""einheit"": ""liter""}","{""zutat"": ""Liter"", ""eigenschaft"": ""halb""}"
462,zwiebel frisch,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""frisch""}"
463,selleriestange,6 stk.,"{""anzahl"": 6, ""einheit"": ""stk.""}","{""zutat"": ""Selleriestange""}"
464,wurzelgemüse,800 gramm,"{""gewicht"": 800, ""einheit"": ""gramm""}","{""zutat"": ""Wurzelgem\u00fcse""}"
465,chilischote grün,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Chilischote"", ""eigenschaft"": ""gr\u00fcn""}"
466,pfefferkörner,15 stk.,"{""anzahl"": 15, ""einheit"": ""stk.""}","{""zutat"": ""Pfefferkorn""}"
467,piment,3 stk.,"{""anzahl"": 3, ""einheit"": ""stk.""}","{""zutat"": ""Piment""}"
468,karotten,3 stk.,"{""anzahl"": 3, ""einheit"": ""stk.""}","{""zutat"": ""Karotte""}"
469,topinambur frisch,8 stk.,"{""anzahl"": 8, ""einheit"": ""stk.""}","{""zutat"": ""Topinambur"", ""eigenschaft"": ""frisch""}"
470,rote bete frisch,3 stk,"{""anzahl"": 3, ""einheit"": ""stk""}","{""zutat"": ""Rote Bete"", ""eigenschaft"": ""frisch""}"
471,viktoriabarsch,550 g,"{""gewicht"": 550, ""einheit"": ""g""}","{""zutat"": ""Barsch"", ""eigenschaft"": ""viktorianisch""}"
472,mehl,2 esslöffel,"{""anzahl"": 2, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Mehl""}"
473,butterschmalz,1 esslöffel,"{""volumen"": 1, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Butterschmalz""}"
474,wasser gesalzen,1 ½ liter,"{""volumen"": ""1 \u00bd"", ""einheit"": ""liter""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""gesalzen""}"
475,wildreis,1 ½ tasse,"{""volumen"": ""1 \u00bd"", ""einheit"": ""tasse""}","{""zutat"": ""Reis"", ""eigenschaft"": ""wild""}"
476,butter,1 esslöffel,"{""volumen"": ""1"", ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Butter""}"
477,schnittlauch frisch gehackt,2 esslöffel,"{""anzahl"": 2, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Schnittlauch"", ""eigenschaft"": ""gehackt""}"
478,rinderhack,250 g,"{""gewicht"": 250, ""einheit"": ""g""}","{""zutat"": ""Rinderhack"", ""eigenschaft"": ""roh""}"
479,zwiebel gewürfelt,0.5 stk.,"{""anzahl"": 0.5, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""gew\u00fcrfelt""}"
480,quark magerstufe,2 esslöffel,"{""anzahl"": 2, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Quark"", ""eigenschaft"": ""mager""}"
481,senf mittelscharf,1 esslöffel,"{""volumen"": 1, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Senf"", ""eigenschaft"": ""mittelscharf""}"
482,karotten gerieben,0.5 stk.,"{""anzahl"": 0.5, ""einheit"": ""stk.""}","{""zutat"": ""Karotte"", ""eigenschaft"": ""gerieben""}"
483,tomaten getrocknet,5 stk.,"{""anzahl"": 5, ""einheit"": ""stk.""}","{""zutat"": ""Tomate"", ""eigenschaft"": ""getrocknet""}"
484,semmelbrösel,3 stk.,"{""anzahl"": 3, ""einheit"": ""stk.""}","{""zutat"": ""Semmelbr\u00f6sel""}"
485,ei,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Ei""}"
486,petersilie fein geschnitten,1 esslöffel,"{""volumen"": 1, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Petersilie"", ""eigenschaft"": ""fein geschnitten""}"
487,schnittlauch frisch gehackt,1 esslöffel,"{""volumen"": 1, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Schnittlauch"", ""eigenschaft"": ""gehackt""}"
488,zwiebel gewürfelt,0.5 stk.,"{""anzahl"": 0.5, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""gew\u00fcrfelt""}"
489,butterschmalz,1 esslöffel,"{""volumen"": 1, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Butterschmalz""}"
490,speck durchwachsen,50 g,"{""gewicht"": 50, ""einheit"": ""g""}","{""zutat"": ""Speck"", ""eigenschaft"": ""durchwachsen""}"
491,plaumenschnaps,2 cl,"{""volumen"": 2, ""einheit"": ""cl""}","{""zutat"": ""Pflaumenschnaps""}"
492,kondensmilch     fett,0.75 päckchen,"{""anzahl"": 0.75, ""einheit"": ""P\u00e4ckchen""}","{""zutat"": ""Kondensmilch"", ""eigenschaft"": ""fett""}"
493,emmentaler gerieben,40 g,"{""gewicht"": 40, ""einheit"": ""g""}","{""zutat"": ""Emmentaler"", ""eigenschaft"": ""gerieben""}"
494,teigwaren  allgemein hörnchen,120 g,"{""gewicht"": 120, ""einheit"": ""g""}","{""zutat"": ""Teigware"", ""eigenschaft"": ""H\u00f6rnchen""}"
495,wasser gesalzen,1 ½ liter,"{""volumen"": ""1 \u00bd"", ""einheit"": ""liter""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""gesalzen""}"
496,sobanudeln,200 g,"{""gewicht"": 200, ""einheit"": ""g""}","{""zutat"": ""Sobanudel"", ""eigenschaft"": ""200 g""}"
497,gemüsefond,1 l,"{""volumen"": 1, ""einheit"": ""l""}","{""zutat"": ""Gem\u00fcsefond""}"
498,thai-spargel,200 g,"{""gewicht"": 200, ""einheit"": ""g""}","{""zutat"": ""Spargel"", ""eigenschaft"": ""thai""}"
499,sojasoße,2 el,"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""So\u00dfe"", ""eigenschaft"": ""Sojaso\u00dfe""}"
500,misopaste hell,2 el,"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""Misopaste"", ""eigenschaft"": ""hell""}"
501,limette,0.5,"{""anzahl"": 0.5, ""einheit"": ""limette""}","{""zutat"": ""Limette""}"
502,wakame algen getrocknet,6 g,"{""gewicht"": 6, ""einheit"": ""g""}","{""zutat"": ""Alge"", ""eigenschaft"": ""getrocknet""}"
503,ingwer,1 stck,"{""anzahl"": 1, ""einheit"": ""stck""}","{""zutat"": ""Ingwer""}"
504,topfen   f i t ,125 g,"{""gewicht"": 125, ""einheit"": ""g""}","{""zutat"": ""Topfen"", ""eigenschaft"": ""top""}"
505,grapefruit pink frisch,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Grapefruit"", ""eigenschaft"": ""frisch""}"
506,orange frisch,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Orange"", ""eigenschaft"": ""frisch""}"
507,haferflocken,3 el,"{""volumen"": 3, ""einheit"": ""el""}","{""zutat"": ""Haferflocke""}"
508,einweckgläser,5 stk.,"{""anzahl"": 5, ""einheit"": ""stk.""}","{""zutat"": ""Einweckglas"", ""eigenschaft"": ""St\u00fcck""}"
509,kohlrabi frisch,2 stk.,"{""anzahl"": 2, ""einheit"": ""stk.""}","{""zutat"": ""Kohlrabi"", ""eigenschaft"": ""frisch""}"
510,rosenkohl frisch,1 kg,"{""gewicht"": 1, ""einheit"": ""kg""}","{""zutat"": ""Rosenkohl"", ""eigenschaft"": ""frisch""}"
511,karotte,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Karotte""}"
512,fenchel frisch,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Fenchel"", ""eigenschaft"": ""frisch""}"
513,ingwer frisch,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Ingwer"", ""eigenschaft"": ""frisch""}"
514,zucchini,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Zucchini"", ""eigenschaft"": ""stark""}"
515,curry,1 teelöffel,"{""volumen"": 1, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Curry""}"
516,zwiebel,3 stk.,"{""anzahl"": 3, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel""}"
517,liebstöckel frisch,3 zweige,"{""anzahl"": 3, ""einheit"": ""zweige""}","{""zutat"": ""Liebst\u00f6ckel"", ""eigenschaft"": ""frisch""}"
518,wasser kochend,2.2 liter,"{""volumen"": 2.2, ""einheit"": ""liter""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""kochend""}"
519,wasser kalt,2 liter,"{""volumen"": 2, ""einheit"": ""liter""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""kalt""}"
520,chilli rot,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Chili"", ""eigenschaft"": ""rot""}"
521,kalbfleisch,1 stck.,"{""anzahl"": 1, ""einheit"": ""stck.""}","{""zutat"": ""Kalbfleisch""}"
522,ei,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Ei""}"
523,semmelbrösel,3 el,"{""volumen"": 3, ""einheit"": ""el""}","{""zutat"": ""Semmelbr\u00f6sel""}"
524,mehl,2 el,"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""Mehl""}"
525,zucchini,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zucchini""}"
526,zitrone,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zitrone""}"
527,minzeblätter,1 hand,"{""anzahl"": 1, ""einheit"": ""hand""}","{""zutat"": ""M\u00fcnzblatt"", ""eigenschaft"": ""hand""}"
528,hakkaido-kürbis,750 g,"{""gewicht"": 750, ""einheit"": ""g""}","{""zutat"": ""K\u00fcrbis"", ""eigenschaft"": ""Hakkaido""}"
529,gemüsebrühe,2 liter,"{""volumen"": 2, ""einheit"": ""liter""}","{""zutat"": ""Br\u00fche"", ""eigenschaft"": ""gem\u00fcse-""}"
530,knoblauchzehe geschält,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Knoblauchzehe"", ""eigenschaft"": ""gesch\u00e4lt""}"
531,lauch längs halbiert undgeschnitten,100 g,"{""gewicht"": 100, ""einheit"": ""g""}","{""zutat"": ""Lauch"", ""eigenschaft"": ""geschnitten""}"
532,chilischote,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Chilischote""}"
533,curry,1 teelöffel,"{""volumen"": 1, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Curry""}"
534,äpfel elstar,2 stück,"{""anzahl"": 2, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Apfel"", ""eigenschaft"": ""Elstar""}"
535,sahne   fett,200 g,"{""gewicht"": 200, ""einheit"": ""g""}","{""zutat"": ""Sahne"", ""eigenschaft"": ""fett""}"
536,kürbiskerne,6 esslöffel,"{""anzahl"": 6, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Kern"", ""eigenschaft"": ""K\u00fcrbis""}"
537,sonnenblumenkerne geröstet,6 esslöffel,"{""anzahl"": 6, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Sonnenblumenkern"", ""eigenschaft"": ""ger\u00f6stet""}"
538,dinkelvollkornmehl,250 g,"{""gewicht"": 250, ""einheit"": ""g""}","{""zutat"": ""Dinkelvollkornmehl""}"
539,dinkelmehl typ  ,250 g,"{""gewicht"": 250, ""einheit"": ""g""}","{""zutat"": ""Dinkelmehl"", ""eigenschaft"": ""typ""}"
540,zuckerrübensirup,1 tl,"{""volumen"": 1, ""einheit"": ""tl""}","{""zutat"": ""Sirup"", ""eigenschaft"": ""Zuckerr\u00fcben""}"
541,salz,1 ½ tl,"{""anzahl"": 1.5, ""einheit"": ""tl""}","{""zutat"": ""Salz""}"
542,hefe,1 würfel,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Hefe"", ""eigenschaft"": ""W\u00fcrfel""}"
543,öl,3 el,"{""volumen"": 3, ""einheit"": ""el""}","{""zutat"": ""\u00d6l""}"
544,wasser warm,250 ml,"{""volumen"": 250, ""einheit"": ""ml""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""warm""}"
545,sonnenblumenkerne,60 g,"{""gewicht"": 60, ""einheit"": ""g""}","{""zutat"": ""Sonnenblumenkern"", ""eigenschaft"": ""sonnen-""}"
546,apfelmus,125 gramm,"{""gewicht"": 125, ""einheit"": ""gramm""}","{""zutat"": ""Apfelmus""}"
547,kandisin pulver,10 gramm,"{""gewicht"": 10, ""einheit"": ""gramm""}","{""zutat"": ""Kandisin"", ""eigenschaft"": ""Pulver""}"
548,vanillezucker,1 päckchen,"{""anzahl"": 1, ""einheit"": ""P\u00e4ckchen""}","{""zutat"": ""Vanillezucker""}"
549,eier,3 stück,"{""anzahl"": 3, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Ei"", ""eigenschaft"": ""frisch""}"
550,zitronensaft,2 cl,"{""volumen"": 2, ""einheit"": ""cl""}","{""zutat"": ""Zitronensaft""}"
551,backpulver,1 päckchen,"{""anzahl"": 1, ""einheit"": ""P\u00e4ckchen""}","{""zutat"": ""Backpulver""}"
552,kochpuddingpulver mitvanillegeschmack,1 päckchen,"{""anzahl"": 1, ""einheit"": ""P\u00e4ckchen""}","{""zutat"": ""Puddingpulver"", ""eigenschaft"": ""Vanille""}"
