Unnamed: 0,ingredient,amount,ingr_annotation,amount_annotation,norm_value,norm_unit
341,knoblauchzehen  ca    -  g,2 stück,"{""anzahl"": 2, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Knoblauchzehe""}",2.0,stück
342,butter,125 g,"{""gewicht"": 125, ""einheit"": ""g""}","{""zutat"": ""Butter""}",125.0,g
343,tomatenmark,140 g,"{""gewicht"": 140, ""einheit"": ""g""}","{""zutat"": ""Tomatenmark""}",140.0,g
344,olivenöl extra vergine entspricht   el,10 g,"{""gewicht"": 10, ""einheit"": ""g""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""Oliven-""}",10.0,g
345,oregano,1 tl,"{""volumen"": 1, ""einheit"": ""tl""}","{""zutat"": ""Oregano""}",0.005,liter
346,thymian,1 tl,"{""volumen"": 1, ""einheit"": ""tl""}","{""zutat"": ""Thymian""}",0.005,liter
347,zucker,1 prise,"{""anzahl"": 1, ""einheit"": ""Prise""}","{""zutat"": ""Zucker"", ""eigenschaft"": ""Prise""}",0.0005,liter
348,aalrauchschinken aufschnitt,4 scheiben,"{""anzahl"": 4, ""einheit"": ""scheiben""}","{""zutat"": ""Schinken"", ""eigenschaft"": ""Aalrauch""}",4.0,stück
349,hühnerbrust aufschnitt,4 scheiben,"{""anzahl"": 4, ""einheit"": ""scheiben""}","{""zutat"": ""H\u00fchnerbrust"", ""eigenschaft"": ""aufgeschnitten""}",4.0,stück
350,tomatenpüree,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""Tomatenp\u00fcree""}",0.015,liter
351,sellerieknolle grobgewürfelt,50 g,"{""gewicht"": 50, ""einheit"": ""g""}","{""zutat"": ""Sellerieknolle"", ""eigenschaft"": ""grob""}",50.0,g
352,senf mittelscharf,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""Senf"", ""eigenschaft"": ""mittelscharf""}",0.015,liter
353,schalotten  gewürfelt,2 stück,"{""anzahl"": 2, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Schalotte"", ""eigenschaft"": ""gew\u00fcrfelt""}",2.0,stück
354,bärlauch frisch,6 blätter,"{""anzahl"": 6, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Blatt"", ""eigenschaft"": ""frisch""}",6.0,stück
355,dill frisch,1 stiel,"{""anzahl"": 1, ""einheit"": ""stiel""}","{""zutat"": ""Dill"", ""eigenschaft"": ""frisch""}",1.0,stück
356,blattpetersilienstielefrisch,2 stiel,"{""anzahl"": 2, ""einheit"": ""Stiel""}","{""zutat"": ""Petersilie"", ""eigenschaft"": ""frisch""}",2.0,stück
357,pfeffer aus der mühle,1 prise,"{""anzahl"": 1, ""einheit"": ""prise"", ""zutat"": ""pfeffer""}","{""zutat"": ""Pfeffer"", ""eigenschaft"": ""aus der M\u00fchle""}",0.0005,liter
358,himalayasalz,1 prise,"{""anzahl"": 1, ""einheit"": ""prise"", ""zutat"": ""himalayasalz""}","{""zutat"": ""Salz"", ""eigenschaft"": ""himalaya""}",0.0005,liter
359,oliven gefüllt  inscheibchen geschnitten,3 stück,"{""anzahl"": 3, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Olive"", ""eigenschaft"": ""geschnitten""}",3.0,stück
360,kondensmilch,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""Milch"", ""eigenschaft"": ""kondensiert""}",0.015,liter
361,rüböl  rapsöl ,1 tl,"{""volumen"": 1, ""einheit"": ""tl""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""R\u00fcb-""}",0.005,liter
362,crema di balsamico,1 tl,"{""volumen"": 1, ""einheit"": ""tl""}","{""zutat"": ""Creme"", ""eigenschaft"": ""balsamico""}",0.005,liter
363,mu-err-pilze  getrocknet kleingebröselt,5 g,"{""gewicht"": 5, ""einheit"": ""g""}","{""zutat"": ""Pilz"", ""eigenschaft"": ""kleingebr\u00f6selt""}",5.0,g
364,shii-take-pilze  getrocknet kleingebröselt,5 g,"{""gewicht"": 5, ""einheit"": ""g""}","{""zutat"": ""Pilz"", ""eigenschaft"": ""kleingebro\u0308selt""}",5.0,g
365,glasnudeln,30 g,"{""gewicht"": 30, ""einheit"": ""g""}","{""zutat"": ""Glasnudel"", ""eigenschaft"": ""gl\u00e4sern""}",30.0,g
366,salz,8 g,"{""gewicht"": 8, ""einheit"": ""g""}","{""zutat"": ""Salz""}",8.0,g
367,chilipulver,0.25 g,"{""gewicht"": 0.25, ""einheit"": ""g""}","{""zutat"": ""Chilipulver""}",0.25,g
368,liebstöckel  getrocknet,0.5 g,"{""gewicht"": 0.5, ""einheit"": ""g""}","{""zutat"": ""Liebst\u00f6ckel"", ""eigenschaft"": ""getrocknet""}",0.5,g
369,speisestärke,12 g,"{""gewicht"": 12, ""einheit"": ""g""}","{""zutat"": ""Speisest\u00e4rke""}",12.0,g
370,dunkle sojasauce,25 ml,"{""volumen"": 25, ""einheit"": ""ml""}","{""zutat"": ""Sojasauce"", ""eigenschaft"": ""dunkel""}",0.025,liter
371,zitronensaft,10 ml,"{""volumen"": 10, ""einheit"": ""ml""}","{""zutat"": ""Zitronensaft""}",0.01,liter
372,wasser,1000 ml,"{""volumen"": 1000, ""einheit"": ""ml""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""fl\u00fcssig""}",1.0,liter
373,suppenhuhn,1200 g,"{""gewicht"": 1200, ""einheit"": ""g""}","{""zutat"": ""Suppenhuhn""}",1200.0,g
374,suppengrün  sellerie möhre  petersilie,400 g,"{""gewicht"": 400, ""einheit"": ""g""}","{""zutat"": ""Suppengr\u00fcn""}",400.0,g
375,spargel,400 g,"{""gewicht"": 400, ""einheit"": ""g""}","{""zutat"": ""Spargel""}",400.0,g
376,rosenkohl,400 g,"{""gewicht"": 400, ""einheit"": ""g""}","{""zutat"": ""Rosenkohl"", ""eigenschaft"": ""roh""}",400.0,g
377,salz,10 g,"{""gewicht"": 10, ""einheit"": ""g""}","{""zutat"": ""Salz"", ""eigenschaft"": ""fein""}",10.0,g
378,safran,0.1 g,"{""gewicht"": 0.1, ""einheit"": ""g""}","{""zutat"": ""Safran""}",0.1,g
379,pfeffer,2 g,"{""gewicht"": 2, ""einheit"": ""g""}","{""zutat"": ""Pfeffer""}",2.0,g
380,lorbeerblatt,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Lorbeerblatt"", ""eigenschaft"": ""ganz""}",1.0,stück
381,wasser,3000 ml,"{""volumen"": 3000, ""einheit"": ""ml""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""fl\u00fcssig""}",3.0,liter
382,eier,6 stück,"{""anzahl"": 6, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Ei"", ""eigenschaft"": ""St\u00fcck""}",6.0,stück
383,sahne,100 ml,"{""volumen"": 100, ""einheit"": ""ml""}","{""zutat"": ""Sahne""}",0.1,liter
384,salz,10 g,"{""gewicht"": 10, ""einheit"": ""g""}","{""zutat"": ""Salz""}",10.0,g
385,pfeffer  weiß,1 g,"{""gewicht"": 1, ""einheit"": ""g""}","{""zutat"": ""Pfeffer"", ""eigenschaft"": ""wei\u00df""}",1.0,g
386,muskatnuss oder macis,0.3 g,"{""gewicht"": 0.3, ""einheit"": ""g""}","{""zutat"": ""Muskatnuss"", ""eigenschaft"": ""ganz""}",0.3,g
387,suppennudeln,200 g,"{""gewicht"": 200, ""einheit"": ""g""}","{""zutat"": ""Suppennudel""}",200.0,g
388,kartoffel,300 g,"{""gewicht"": 300, ""einheit"": ""g""}","{""zutat"": ""Kartoffel""}",300.0,g
389,chicoree frisch,500 g,"{""gewicht"": 500, ""einheit"": ""g""}","{""zutat"": ""Chicor\u00e9e"", ""eigenschaft"": ""frisch""}",500.0,g
390,gekochter schinken,200 g,"{""gewicht"": 200, ""einheit"": ""g""}","{""zutat"": ""Schinken"", ""eigenschaft"": ""gekocht""}",200.0,g
391,eier,2,"{""anzahl"": 2, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Ei""}",2.0,stück
392,fettarme milch,50 ml,"{""volumen"": 50, ""einheit"": ""ml""}","{""zutat"": ""Milch"", ""eigenschaft"": ""fettarm""}",0.05,liter
393,fettreduzierte sahne,100 ml,"{""volumen"": 100, ""einheit"": ""ml""}","{""zutat"": ""Sahne"", ""eigenschaft"": ""fettreduziert""}",0.1,liter
394,käse gerieben,5 el,"{""volumen"": 5, ""einheit"": ""el""}","{""zutat"": ""K\u00e4se"", ""eigenschaft"": ""gerieben""}",0.075,liter
395,äpfel,2,"{""anzahl"": 2, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Apfel""}",2.0,stück
396,sonnenblumenkerne,2 el,"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""Sonnenblumenkern"", ""eigenschaft"": ""roh""}",0.03,liter
397,fenchel frisch,500 g,"{""gewicht"": 500, ""einheit"": ""g""}","{""zutat"": ""Fenchel"", ""eigenschaft"": ""frisch""}",500.0,g
398,rapsöl,4 tl,"{""volumen"": 4, ""einheit"": ""tl""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""Raps""}",0.02,liter
399,salami,100 g,"{""gewicht"": 100, ""einheit"": ""g""}","{""zutat"": ""Salami""}",100.0,g
400,eiweißbrot,2 scheiben,"{""anzahl"": 2, ""einheit"": ""Scheiben""}","{""zutat"": ""Scheibe"", ""eigenschaft"": ""Eiwei\u00dfbrot""}",2.0,stück
401,fischfilet  z b  rotbarsch ,250 gramm,"{""gewicht"": 250, ""einheit"": ""gramm""}","{""zutat"": ""Fischfilet"", ""eigenschaft"": ""rot""}",250.0,g
402,thymianzweig,1,"{""anzahl"": 1, ""einheit"": ""Zweig""}","{""zutat"": ""Thymianzweig""}",1.0,stück
403,olivenöl,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""oliven""}",0.015,liter
404,zucchini   g ,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zucchini""}",1.0,stück
405,stückige tomaten,1 kl. dose,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Tomate"", ""eigenschaft"": ""st\u00fcckig""}",1.0,stück
406,basilikum,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""Basilikum""}",0.015,liter
407,zitrone unbehandelt,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zitrone"", ""eigenschaft"": ""unbehandelt""}",1.0,stück
408,petersilie,0.25 bund,"{""anzahl"": 0.25, ""einheit"": ""bund""}","{""zutat"": ""Petersilie"", ""eigenschaft"": ""Bund""}",0.25,stück
409,dill frisch,0.25 bund,"{""anzahl"": 0.25, ""einheit"": ""Bund""}","{""zutat"": ""Dill"", ""eigenschaft"": ""frisch""}",0.25,stück
410,lachsfilet,300 gramm,"{""gewicht"": 300, ""einheit"": ""gramm""}","{""zutat"": ""Lachsfilet""}",300.0,g
411,grüner spargel,100 gramm,"{""gewicht"": 100, ""einheit"": ""gramm""}","{""zutat"": ""Spargel"", ""eigenschaft"": ""gr\u00fcn""}",100.0,g
412,weißer bruch- spargel,100 gramm,"{""gewicht"": 100, ""einheit"": ""gramm""}","{""zutat"": ""Spargel"", ""eigenschaft"": ""bruch-""}",100.0,g
413,junge möhren,100 gramm,"{""gewicht"": 100, ""einheit"": ""gramm""}","{""zutat"": ""M\u00f6hre"", ""eigenschaft"": ""jung""}",100.0,g
414,grünkern burger,1 päckchen,"{""anzahl"": 1, ""einheit"": ""P\u00e4ckchen""}","{""zutat"": ""Gr\u00fcnkern"", ""eigenschaft"": ""burger""}",1.0,stück
415,wasser kochend,250 ml,"{""volumen"": 250, ""einheit"": ""ml""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""kochend""}",0.25,liter
416,karotten gewürfelt,0.5 stk.,"{""anzahl"": 0.5, ""einheit"": ""stk.""}","{""zutat"": ""Karotte"", ""eigenschaft"": ""gew\u00fcrfelt""}",0.5,stück
417,zwiebel gewürfelt,0.5 stk.,"{""anzahl"": 0.5, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""gew\u00fcrfelt""}",0.5,stück
418,walnüsse gehackt,2 ½ esslöffel,"{""anzahl"": 2.5, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Walnuss"", ""eigenschaft"": ""gehackt""}",0.0375,liter
419,sesam,2 esslöffel,"{""volumen"": 2, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Sesam"", ""eigenschaft"": ""2 Essl\u00f6ffel""}",0.03,liter
420,butterschmalz,2 esslöffel,"{""anzahl"": 2, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Butterschmalz""}",0.03,liter
421,kartoffeln festkochendgeschält,6 stk.,"{""anzahl"": 6, ""einheit"": ""stk.""}","{""zutat"": ""Kartoffel"", ""eigenschaft"": ""gesch\u00e4lt""}",6.0,stück
422,wasser gesalzen,1 liter,"{""volumen"": 1, ""einheit"": ""liter""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""gesalzen""}",1.0,liter
423,muskatnuss frisch gerieben,1 prise,"{""anzahl"": 1, ""einheit"": ""Prise"", ""zutat"": ""Muskatnuss""}","{""zutat"": ""Muskatnuss"", ""eigenschaft"": ""gerieben""}",0.0005,liter
424,salz,1 teelöffel,"{""anzahl"": 1, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Salz""}",0.005,liter
425,pfeffer aus der mühleschwarz,1 prise,"{""anzahl"": 1, ""einheit"": ""Prise""}","{""zutat"": ""Pfeffer"", ""eigenschaft"": ""schwarz""}",0.0005,liter
426,milch heiß,1 schuss,"{""anzahl"": 1, ""einheit"": ""schuss""}","{""zutat"": ""Schuss"", ""eigenschaft"": ""hei\u00df""}",0.02,liter
427,butter,60 g,"{""gewicht"": 60, ""einheit"": ""g""}","{""zutat"": ""Butter""}",60.0,g
428,karotten gewürfelt,0.5 stk.,"{""anzahl"": 0.5, ""einheit"": ""stk.""}","{""zutat"": ""Karotte"", ""eigenschaft"": ""gew\u00fcrfelt""}",0.5,stück
429,prinzessbohnen gewürfelt,60 g,"{""gewicht"": 60, ""einheit"": ""g""}","{""zutat"": ""Prinzessbohne"", ""eigenschaft"": ""gew\u00fcrfelt""}",60.0,g
430,zwiebel gewürfelt,0.5 stk.,"{""anzahl"": 0.5, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""gew\u00fcrfelt""}",0.5,stück
431,fleischbrühe,1 liter,"{""volumen"": 1, ""einheit"": ""liter""}","{""zutat"": ""Fleischbr\u00fche"", ""eigenschaft"": ""fl\u00fcssig""}",1.0,liter
432,petersilie,1 esslöffel,"{""volumen"": 1, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Petersilie""}",0.015,liter
433,zwiebel gewürfelt,0.5 stk.,"{""anzahl"": 0.5, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""gew\u00fcrfelt""}",0.5,stück
434,endivien frisch,4 blatt,"{""anzahl"": 4, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Endivie"", ""eigenschaft"": ""frisch""}",4.0,stück
435,mehl gesiebt,500 g,"{""gewicht"": 500, ""einheit"": ""g""}","{""zutat"": ""Mehl"", ""eigenschaft"": ""gesiebt""}",500.0,g
436,hefe,1 päckchen,"{""anzahl"": 1, ""einheit"": ""P\u00e4ckchen""}","{""zutat"": ""Hefe""}",1.0,stück
437,zucker,1 prise,"{""anzahl"": 1, ""einheit"": ""Prise"", ""zutat"": ""zucker""}","{""zutat"": ""Zucker"", ""eigenschaft"": ""Prise""}",0.0005,liter
438,salz grob,1 teelöffel,"{""volumen"": 1, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Salz"", ""eigenschaft"": ""grob""}",0.005,liter
439,olivenöl extra vergine,2 esslöffel,"{""anzahl"": 2, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""extra vergine""}",0.03,liter
440,wasser lauwarm,200 ml,"{""volumen"": 200, ""einheit"": ""ml""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""lauwarm""}",0.2,liter
441,ei,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Ei""}",1.0,stück
442,endivien frisch,0.5 stk.,"{""anzahl"": 0.5, ""einheit"": ""stk.""}","{""zutat"": ""Endivie"", ""eigenschaft"": ""frisch""}",0.5,stück
443,speck durchwachsen,150 g,"{""gewicht"": 150, ""einheit"": ""g""}","{""zutat"": ""Speck"", ""eigenschaft"": ""durchwachsen""}",150.0,g
444,zwiebel,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel""}",1.0,stück
445,knoblauchzehen gehackt,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Knoblauchzehe"", ""eigenschaft"": ""gehackt""}",1.0,stück
446,oliven schwarz entsteint,1 dose,"{""anzahl"": 1, ""einheit"": ""Dose""}","{""zutat"": ""Olive"", ""eigenschaft"": ""entsteint""}",1.0,stück
447,sardellen  anchovis ,3 stk.,"{""anzahl"": 3, ""einheit"": ""stk.""}","{""zutat"": ""Sardelle""}",3.0,stück
448,kapern,1 dose,"{""anzahl"": 1, ""einheit"": ""dose""}","{""zutat"": ""Kaper"", ""eigenschaft"": ""Konserve""}",1.0,stück
449,salz und pfeffer,1 ½ teelöffel,"{""anzahl"": 1.5, ""einheit"": ""teel\u00f6ffel"", ""zutat"": ""salz""}","{""zutat"": ""Teel\u00f6ffel"", ""eigenschaft"": ""halb""}",0.0075,liter
450,muskatnuss frisch gerieben,2 prise,"{""anzahl"": 2, ""einheit"": ""Prise""}","{""zutat"": ""Muskatnuss"", ""eigenschaft"": ""gerieben""}",0.001,liter
451,pfeffer aus der mühleschwarz,3 prise,"{""anzahl"": 3, ""einheit"": ""prise"", ""zutat"": ""pfeffer""}","{""zutat"": ""Pfeffer"", ""eigenschaft"": ""schwarz""}",0.0015,liter
452,sahne,1 päckchen,"{""anzahl"": 1, ""einheit"": ""P\u00e4ckchen""}","{""zutat"": ""Sahne""}",1.0,stück
453,eier,2 stk.,"{""anzahl"": 2, ""einheit"": ""stk.""}","{""zutat"": ""Ei"", ""eigenschaft"": ""ganz""}",2.0,stück
454,schnittlauch frisch gehackt,1 bund,"{""anzahl"": 1, ""einheit"": ""bund""}","{""zutat"": ""Schnittlauch"", ""eigenschaft"": ""gehackt""}",1.0,stück
455,karotten gerieben,300 g,"{""gewicht"": 300, ""einheit"": ""g""}","{""zutat"": ""Karotte"", ""eigenschaft"": ""gerieben""}",300.0,g
456,apfel elstar,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Apfel"", ""eigenschaft"": ""Elstar""}",1.0,stück
457,salz grob,1 teelöffel,"{""anzahl"": 1, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Salz"", ""eigenschaft"": ""grob""}",0.005,liter
458,zucker,0.5 teelöffel,"{""anzahl"": 0.5, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Teel\u00f6ffel"", ""eigenschaft"": ""0.5""}",0.0025,liter
459,rapsöl,4 esslöffel,"{""anzahl"": 4, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""Raps-""}",0.06,liter
460,zitronensaft,2 esslöffel,"{""volumen"": 2, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Zitronensaft""}",0.03,liter
461,wasser,2 ½ liter,"{""volumen"": ""2 \u00bd"", ""einheit"": ""liter""}","{""zutat"": ""Liter"", ""eigenschaft"": ""halb""}",2.5,liter
462,zwiebel frisch,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""frisch""}",1.0,stück
463,selleriestange,6 stk.,"{""anzahl"": 6, ""einheit"": ""stk.""}","{""zutat"": ""Selleriestange""}",6.0,stück
464,wurzelgemüse,800 gramm,"{""gewicht"": 800, ""einheit"": ""gramm""}","{""zutat"": ""Wurzelgem\u00fcse""}",800.0,g
465,chilischote grün,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Chilischote"", ""eigenschaft"": ""gr\u00fcn""}",1.0,stück
466,pfefferkörner,15 stk.,"{""anzahl"": 15, ""einheit"": ""stk.""}","{""zutat"": ""Pfefferkorn""}",15.0,stück
467,piment,3 stk.,"{""anzahl"": 3, ""einheit"": ""stk.""}","{""zutat"": ""Piment""}",3.0,stück
468,karotten,3 stk.,"{""anzahl"": 3, ""einheit"": ""stk.""}","{""zutat"": ""Karotte""}",3.0,stück
469,topinambur frisch,8 stk.,"{""anzahl"": 8, ""einheit"": ""stk.""}","{""zutat"": ""Topinambur"", ""eigenschaft"": ""frisch""}",8.0,stück
470,rote bete frisch,3 stk,"{""anzahl"": 3, ""einheit"": ""stk""}","{""zutat"": ""Rote Bete"", ""eigenschaft"": ""frisch""}",3.0,stück
471,viktoriabarsch,550 g,"{""gewicht"": 550, ""einheit"": ""g""}","{""zutat"": ""Barsch"", ""eigenschaft"": ""viktorianisch""}",550.0,g
472,mehl,2 esslöffel,"{""anzahl"": 2, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Mehl""}",0.03,liter
473,butterschmalz,1 esslöffel,"{""volumen"": 1, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Butterschmalz""}",0.015,liter
474,wasser gesalzen,1 ½ liter,"{""volumen"": ""1 \u00bd"", ""einheit"": ""liter""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""gesalzen""}",1.5,liter
475,wildreis,1 ½ tasse,"{""volumen"": ""1 \u00bd"", ""einheit"": ""tasse""}","{""zutat"": ""Reis"", ""eigenschaft"": ""wild""}",0.375,liter
476,butter,1 esslöffel,"{""volumen"": ""1"", ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Butter""}",0.015,liter
477,schnittlauch frisch gehackt,2 esslöffel,"{""anzahl"": 2, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Schnittlauch"", ""eigenschaft"": ""gehackt""}",0.03,liter
478,rinderhack,250 g,"{""gewicht"": 250, ""einheit"": ""g""}","{""zutat"": ""Rinderhack"", ""eigenschaft"": ""roh""}",250.0,g
479,zwiebel gewürfelt,0.5 stk.,"{""anzahl"": 0.5, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""gew\u00fcrfelt""}",0.5,stück
480,quark magerstufe,2 esslöffel,"{""anzahl"": 2, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Quark"", ""eigenschaft"": ""mager""}",0.03,liter
481,senf mittelscharf,1 esslöffel,"{""volumen"": 1, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Senf"", ""eigenschaft"": ""mittelscharf""}",0.015,liter
482,karotten gerieben,0.5 stk.,"{""anzahl"": 0.5, ""einheit"": ""stk.""}","{""zutat"": ""Karotte"", ""eigenschaft"": ""gerieben""}",0.5,stück
483,tomaten getrocknet,5 stk.,"{""anzahl"": 5, ""einheit"": ""stk.""}","{""zutat"": ""Tomate"", ""eigenschaft"": ""getrocknet""}",5.0,stück
484,semmelbrösel,3 stk.,"{""anzahl"": 3, ""einheit"": ""stk.""}","{""zutat"": ""Semmelbr\u00f6sel""}",3.0,stück
485,ei,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Ei""}",1.0,stück
486,petersilie fein geschnitten,1 esslöffel,"{""volumen"": 1, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Petersilie"", ""eigenschaft"": ""fein geschnitten""}",0.015,liter
487,schnittlauch frisch gehackt,1 esslöffel,"{""volumen"": 1, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Schnittlauch"", ""eigenschaft"": ""gehackt""}",0.015,liter
488,zwiebel gewürfelt,0.5 stk.,"{""anzahl"": 0.5, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""gew\u00fcrfelt""}",0.5,stück
489,butterschmalz,1 esslöffel,"{""volumen"": 1, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Butterschmalz""}",0.015,liter
490,speck durchwachsen,50 g,"{""gewicht"": 50, ""einheit"": ""g""}","{""zutat"": ""Speck"", ""eigenschaft"": ""durchwachsen""}",50.0,g
491,plaumenschnaps,2 cl,"{""volumen"": 2, ""einheit"": ""cl""}","{""zutat"": ""Pflaumenschnaps""}",0.02,liter
492,kondensmilch     fett,0.75 päckchen,"{""anzahl"": 0.75, ""einheit"": ""P\u00e4ckchen""}","{""zutat"": ""Kondensmilch"", ""eigenschaft"": ""fett""}",0.75,stück
493,emmentaler gerieben,40 g,"{""gewicht"": 40, ""einheit"": ""g""}","{""zutat"": ""Emmentaler"", ""eigenschaft"": ""gerieben""}",40.0,g
494,teigwaren  allgemein hörnchen,120 g,"{""gewicht"": 120, ""einheit"": ""g""}","{""zutat"": ""Teigware"", ""eigenschaft"": ""H\u00f6rnchen""}",120.0,g
495,wasser gesalzen,1 ½ liter,"{""volumen"": ""1 \u00bd"", ""einheit"": ""liter""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""gesalzen""}",1.5,liter
496,sobanudeln,200 g,"{""gewicht"": 200, ""einheit"": ""g""}","{""zutat"": ""Sobanudel"", ""eigenschaft"": ""200 g""}",200.0,g
497,gemüsefond,1 l,"{""volumen"": 1, ""einheit"": ""l""}","{""zutat"": ""Gem\u00fcsefond""}",1.0,liter
498,thai-spargel,200 g,"{""gewicht"": 200, ""einheit"": ""g""}","{""zutat"": ""Spargel"", ""eigenschaft"": ""thai""}",200.0,g
499,sojasoße,2 el,"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""So\u00dfe"", ""eigenschaft"": ""Sojaso\u00dfe""}",0.03,liter
500,misopaste hell,2 el,"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""Misopaste"", ""eigenschaft"": ""hell""}",0.03,liter
501,limette,0.5,"{""anzahl"": 0.5, ""einheit"": ""limette""}","{""zutat"": ""Limette""}",0.5,stück
502,wakame algen getrocknet,6 g,"{""gewicht"": 6, ""einheit"": ""g""}","{""zutat"": ""Alge"", ""eigenschaft"": ""getrocknet""}",6.0,g
503,ingwer,1 stck,"{""anzahl"": 1, ""einheit"": ""stck""}","{""zutat"": ""Ingwer""}",1.0,stück
504,topfen   f i t ,125 g,"{""gewicht"": 125, ""einheit"": ""g""}","{""zutat"": ""Topfen"", ""eigenschaft"": ""top""}",125.0,g
505,grapefruit pink frisch,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Grapefruit"", ""eigenschaft"": ""frisch""}",1.0,stück
506,orange frisch,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Orange"", ""eigenschaft"": ""frisch""}",1.0,stück
507,haferflocken,3 el,"{""volumen"": 3, ""einheit"": ""el""}","{""zutat"": ""Haferflocke""}",0.045,liter
508,einweckgläser,5 stk.,"{""anzahl"": 5, ""einheit"": ""stk.""}","{""zutat"": ""Einweckglas"", ""eigenschaft"": ""St\u00fcck""}",5.0,stück
509,kohlrabi frisch,2 stk.,"{""anzahl"": 2, ""einheit"": ""stk.""}","{""zutat"": ""Kohlrabi"", ""eigenschaft"": ""frisch""}",2.0,stück
510,rosenkohl frisch,1 kg,"{""gewicht"": 1, ""einheit"": ""kg""}","{""zutat"": ""Rosenkohl"", ""eigenschaft"": ""frisch""}",1000.0,g
